"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",17.379999,17.66,17.16,17.41,2109800,10.244234,2015-01-02,"BRKM5.SA",NA,NA
"2",17.120001,17.200001,16.360001,16.360001,2156200,9.626406,2015-01-05,"BRKM5.SA",-0.0603098289242515,-0.0603101091326823
"3",16.459999,16.49,15.97,16.01,1224100,9.420462,2015-01-06,"BRKM5.SA",-0.0213936540802454,-0.0213937028487956
"4",16.049999,16.219999,15.65,16,1425200,9.414577,2015-01-07,"BRKM5.SA",-0.000624703968871265,-0.000624609618988248
"5",16.1,16.26,15.64,16.040001,1143500,9.438113,2015-01-08,"BRKM5.SA",0.00249995299841932,0.00250006250000001
"6",15.89,16.1,15.57,15.69,1892500,9.232168,2015-01-09,"BRKM5.SA",-0.0218205694295035,-0.0218205098615643
"7",15.72,15.99,15.59,15.99,1156900,9.408692,2015-01-12,"BRKM5.SA",0.0191205359347881,0.0191204588910134
"8",15.94,16.280001,15.72,15.82,2031000,9.308661,2015-01-13,"BRKM5.SA",-0.0106317647553985,-0.0106316447779863
"9",15.71,15.71,14.85,14.87,1780800,8.749672,2015-01-14,"BRKM5.SA",-0.0600504197112776,-0.0600505689001265
"10",14.97,15.55,14.96,14.97,2072300,8.808514,2015-01-15,"BRKM5.SA",0.00672505209338126,0.00672494956287828
"11",15.18,15.42,15,15.25,1191500,8.973269,2015-01-16,"BRKM5.SA",0.0187040629100437,0.0187040748162992
"12",15.1,15.12,14,14.07,1260900,8.278943,2015-01-19,"BRKM5.SA",-0.0773771520724499,-0.0773770491803278
"13",14.24,14.37,12.99,13.15,3918700,7.737606,2015-01-20,"BRKM5.SA",-0.065387211869921,-0.0653873489694385
"14",13.25,13.33,12.78,13.12,2982900,7.719953,2015-01-21,"BRKM5.SA",-0.00228145501334653,-0.00228136882129282
"15",13.23,13.57,12.84,12.88,3799800,7.578734,2015-01-22,"BRKM5.SA",-0.0182927279479552,-0.0182926829268292
"16",13.23,13.57,12.11,12.13,2061200,7.137426,2015-01-23,"BRKM5.SA",-0.0582297782188952,-0.0582298136645962
"17",12,12.37,11.46,12.29,2377500,7.231571,2015-01-26,"BRKM5.SA",0.0131903293988618,0.0131904369332232
"18",12.28,12.49,11.77,12.23,1736900,7.196266,2015-01-27,"BRKM5.SA",-0.00488206504506428,-0.00488201790073217
"19",12.1,12.17,11.57,11.96,1910000,7.037396,2015-01-28,"BRKM5.SA",-0.022076727013704,-0.0220768601798855
"20",12.01,12.58,11.83,12.38,1720600,7.284528,2015-01-29,"BRKM5.SA",0.0351169665597899,0.0351170568561874
"21",12.25,12.64,12.06,12.45,2146700,7.325717,2015-01-30,"BRKM5.SA",0.00565431281203121,0.00565428109854582
"22",12.69,12.98,12.49,12.86,2651700,7.566965,2015-02-02,"BRKM5.SA",0.0329316570651037,0.0329317269076306
"23",12.95,13.15,12.83,13.07,2750000,7.690533,2015-02-03,"BRKM5.SA",0.0163299288420127,0.016329704510109
"24",13.11,13.38,12.66,12.7,2193200,7.472819,2015-02-04,"BRKM5.SA",-0.028309351250427,-0.028309104820199
"25",12.5,12.99,12.11,12.5,2518900,7.355138,2015-02-05,"BRKM5.SA",-0.015747872389255,-0.015748031496063
"26",12.52,12.91,12.26,12.89,2945700,7.584618,2015-02-06,"BRKM5.SA",0.0311999584508136,0.0312000000000001
"27",12.7,12.73,12.4,12.5,4041900,7.355138,2015-02-09,"BRKM5.SA",-0.0302559733397252,-0.0302560124127231
"28",12.43,12.71,12.31,12.53,1350500,7.37279,2015-02-10,"BRKM5.SA",0.00239995497025336,0.00239999999999996
"29",12.33,12.65,12.14,12.4,2663200,7.296298,2015-02-11,"BRKM5.SA",-0.0103749055649218,-0.0103750997605745
"30",12.57,13.11,12.54,12.72,2116900,7.484589,2015-02-12,"BRKM5.SA",0.0258063746848058,0.0258064516129033
"31",13.06,13.09,12.62,12.7,977000,7.472819,2015-02-13,"BRKM5.SA",-0.00157256463915378,-0.00157232704402521
"32",12.8,13.08,12.62,12.65,1525600,7.443399,2015-02-18,"BRKM5.SA",-0.00393693464273659,-0.00393700787401563
"33",12.73,12.78,12.4,12.4,1703200,7.296298,2015-02-19,"BRKM5.SA",-0.0197626111404212,-0.0197628458498024
"34",12.51,12.77,12.42,12.71,979800,7.478703,2015-02-20,"BRKM5.SA",0.0249996642132764,0.0250000000000001
