"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",15.23,15.39,14.57,14.72,3321100,11.14872,2015-01-02,"CCRO3.SA",NA,NA
"2",14.53,15.08,14.25,14.3,6363100,10.830618,2015-01-05,"CCRO3.SA",-0.0285326028458873,-0.0285326086956522
"3",14.4,14.66,14.23,14.51,5363000,10.98967,2015-01-06,"CCRO3.SA",0.0146854039169326,0.0146853146853145
"4",14.57,15.79,14.56,15.6,11266900,11.815219,2015-01-07,"CCRO3.SA",0.0751204540263721,0.0751206064782908
"5",15.6,16,15.51,15.78,5775900,11.951549,2015-01-08,"CCRO3.SA",0.011538508088593,0.0115384615384615
"6",15.69,15.78,15.49,15.55,4202700,11.777351,2015-01-09,"CCRO3.SA",-0.0145753491869548,-0.0145754119138148
"7",15.65,15.74,15.34,15.4,4672900,11.663741,2015-01-12,"CCRO3.SA",-0.00964648162392368,-0.00964630225080387
"8",15.4,16.299999,15.37,15.75,6626200,11.928825,2015-01-13,"CCRO3.SA",0.0227271850429462,0.0227272727272727
"9",15.6,16.18,15.51,16.059999,5505100,12.163617,2015-01-14,"CCRO3.SA",0.0196827432710263,0.0196824761904764
"10",16.030001,17.02,16.02,16.17,11037200,12.246928,2015-01-15,"CCRO3.SA",0.00684919625469949,0.00684937776148065
"11",16.209999,16.940001,16.200001,16.700001,7048200,12.648344,2015-01-16,"CCRO3.SA",0.0327768726981983,0.0327768089053802
"12",16.459999,16.700001,16.01,16.200001,3353600,12.269651,2015-01-19,"CCRO3.SA",-0.0299401249681381,-0.0299401179676576
"13",16.389999,16.6,16.16,16.219999,3073700,12.284799,2015-01-20,"CCRO3.SA",0.00123459094313283,0.00123444436824416
"14",16.27,16.870001,16.200001,16.6,7196400,12.572605,2015-01-21,"CCRO3.SA",0.0234278151396698,0.0234279299277391
"15",16.700001,16.870001,16.02,16.18,4856700,12.254503,2015-01-22,"CCRO3.SA",-0.0253012005069753,-0.0253012048192772
"16",16.700001,16.870001,15.82,16.25,4826500,12.307519,2015-01-23,"CCRO3.SA",0.00432624644181812,0.00432632880098893
"17",16.040001,16.07,15.52,15.8,5722700,11.966697,2015-01-26,"CCRO3.SA",-0.0276921774404735,-0.0276923076923077
"18",15.61,16.48,15.46,16.25,5238500,12.307519,2015-01-27,"CCRO3.SA",0.0284808748813477,0.0284810126582278
"19",16.190001,16.68,15.91,16.66,4858900,12.618051,2015-01-28,"CCRO3.SA",0.0252310802851492,0.0252307692307692
"20",16.469999,16.66,15.94,16.450001,7085800,12.458997,2015-01-29,"CCRO3.SA",-0.0126052747765879,-0.0126049819927971
"21",16.34,16.34,15.28,15.28,10589100,11.572856,2015-01-30,"CCRO3.SA",-0.0711245857110328,-0.0711246765273753
"22",15.51,15.92,15.41,15.64,4222000,11.845517,2015-02-02,"CCRO3.SA",0.0235603899331331,0.0235602094240839
"23",15.9,16.24,15.78,16.23,5590400,12.292371,2015-02-03,"CCRO3.SA",0.0377234695623669,0.0377237851662404
"24",16.23,16.5,15.77,16.15,6284400,12.231781,2015-02-04,"CCRO3.SA",-0.00492907348793814,-0.00492914356130636
"25",16.030001,16.68,15.99,16.280001,3705500,12.330243,2015-02-05,"CCRO3.SA",0.00804968630488068,0.00804959752321976
"26",16.09,16.280001,15.69,15.93,3667300,12.065156,2015-02-06,"CCRO3.SA",-0.0214989274745031,-0.0214988316032658
"27",15.86,16.219999,15.72,15.93,3097400,12.065156,2015-02-09,"CCRO3.SA",0,0
"28",16,16.299999,15.58,15.58,5891700,11.800071,2015-02-10,"CCRO3.SA",-0.0219711208044056,-0.0219711236660389
"29",15.67,15.97,15.26,15.49,3878200,11.731907,2015-02-11,"CCRO3.SA",-0.00577657541213106,-0.00577663671373552
"30",15.78,15.9,15.4,15.64,4621800,11.845517,2015-02-12,"CCRO3.SA",0.00968384764727515,0.00968366688185918
"31",15.61,16.35,15.61,16.35,3900300,12.383259,2015-02-13,"CCRO3.SA",0.0453962456851822,0.0453964194373402
"32",16.379999,16.59,16.32,16.57,5282600,12.549882,2015-02-18,"CCRO3.SA",0.0134555047261791,0.0134556574923548
"33",16.360001,16.780001,16.25,16.450001,3074100,12.458997,2015-02-19,"CCRO3.SA",-0.00724190076050113,-0.00724194327097161
"34",16.469999,16.6,16.26,16.6,2754000,12.572605,2015-02-20,"CCRO3.SA",0.0091185510358498,0.00911847968884638
"35",16.57,16.99,16.4,16.68,4633800,12.633196,2015-02-23,"CCRO3.SA",0.00481928764961603,0.00481927710843366
"36",16.83,16.91,16.440001,16.799999,4195700,12.724081,2015-02-24,"CCRO3.SA",0.00719414152998188,0.00719418465227828
"37",16.6,16.809999,16.370001,16.66,4148400,12.618051,2015-02-25,"CCRO3.SA",-0.00833301831385702,-0.00833327430555197
"38",16.58,16.6,16.120001,16.469999,3708300,12.474143,2015-02-26,"CCRO3.SA",-0.0114049309199971,-0.0114046218487395
"39",16.48,16.969999,16.26,16.67,5614500,12.625622,2015-02-27,"CCRO3.SA",0.0121434394330737,0.012143352285571
"40",16.5,16.610001,16.049999,16.049999,3779500,12.156044,2015-03-02,"CCRO3.SA",-0.0371924646563948,-0.037192621475705
"41",16.129999,16.129999,15.55,15.76,4009000,11.936401,2015-03-03,"CCRO3.SA",-0.018068624957264,-0.0180684746460109
"42",15.5,15.67,15.09,15.19,6650800,11.504691,2015-03-04,"CCRO3.SA",-0.0361675181656514,-0.0361675126903553
"43",15.32,15.67,15.21,15.48,9835800,11.724332,2015-03-05,"CCRO3.SA",0.0190914297480915,0.0190915075707703
"44",15.51,15.6,14.95,15.05,4315600,11.398658,2015-03-06,"CCRO3.SA",-0.0277776166693335,-0.0277777777777778
"45",15.05,15.05,14.09,14.09,12189500,10.671567,2015-03-09,"CCRO3.SA",-0.063787421291173,-0.0637873754152825
"46",14.17,14.98,14.16,14.62,12288500,11.072982,2015-03-10,"CCRO3.SA",0.0376153755113939,0.0376153300212916
"47",14.72,14.72,14.4,14.7,8412000,11.133572,2015-03-11,"CCRO3.SA",0.00547187740393684,0.00547195622435015
"48",14.93,15,14.52,14.74,5978500,11.163867,2015-03-12,"CCRO3.SA",0.00272104945295193,0.00272108843537411
"49",14.17,14.39,14.05,14.05,11205600,10.641272,2015-03-13,"CCRO3.SA",-0.0468112885974008,-0.0468113975576662
"50",14.13,14.83,14.13,14.83,7381900,11.232031,2015-03-16,"CCRO3.SA",0.0555158255516821,0.0555160142348754
"51",14.84,15.38,14.81,15.23,8760300,11.534986,2015-03-17,"CCRO3.SA",0.0269724148731427,0.0269723533378288
"52",15.11,15.97,15,15.97,5242300,12.095454,2015-03-18,"CCRO3.SA",0.0485885288460688,0.0485883125410373
"53",15.87,15.98,15.38,15.5,4028900,11.739482,2015-03-19,"CCRO3.SA",-0.0294302305643095,-0.0294301815904822
"54",15.85,16.34,15.61,16.219999,6113300,12.284799,2015-03-20,"CCRO3.SA",0.0464515384920732,0.0464515483870969
