"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",3.56,3.56,3.334,3.378,5026000,1.973721,2015-01-02,"CPLE6.SA",NA,NA
"2",3.344,3.382,3.26,3.305,6695000,1.931068,2015-01-05,"CPLE6.SA",-0.0216104505145358,-0.0216104203670811
"3",3.3,3.355,3.227,3.305,5331000,1.931068,2015-01-06,"CPLE6.SA",0,0
"4",3.304,3.498,3.304,3.478,5998000,2.032149,2015-01-07,"CPLE6.SA",0.0523446093042814,0.0523449319213314
"5",3.483,3.527,3.421,3.446,3359000,2.013452,2015-01-08,"CPLE6.SA",-0.0092006048769061,-0.00920069005175383
"6",3.421,3.421,3.24,3.298,4963000,1.926977,2015-01-09,"CPLE6.SA",-0.042948627531225,-0.0429483459082995
"7",3.271,3.29,3.138,3.197,4261000,1.867965,2015-01-12,"CPLE6.SA",-0.0306241330332432,-0.0306246209824136
"8",3.186,3.255,3.151,3.248,4249000,1.897763,2015-01-13,"CPLE6.SA",0.0159521190172192,0.0159524554269628
"9",3.18,3.28,3.175,3.27,2575000,1.910618,2015-01-14,"CPLE6.SA",0.00677376469032209,0.00677339901477825
"10",3.288,3.45,3.288,3.315,9672000,1.936911,2015-01-15,"CPLE6.SA",0.0137615159074185,0.0137614678899083
"11",3.295,3.481,3.286,3.395,4886000,1.983654,2015-01-16,"CPLE6.SA",0.0241327557125752,0.0241327300150829
"12",3.385,3.42,3.189,3.19,4485000,1.863875,2015-01-19,"CPLE6.SA",-0.0603830103435378,-0.0603829160530192
"13",3.29,3.29,3.111,3.174,7157000,1.854526,2015-01-20,"CPLE6.SA",-0.00501589430621696,-0.00501567398119118
"14",3.2,3.252,3.12,3.229,5365000,1.886662,2015-01-21,"CPLE6.SA",0.0173284170726105,0.0173282923755513
"15",3.28,3.36,3.199,3.247,6869000,1.897179,2015-01-22,"CPLE6.SA",0.00557439541369886,0.00557448126354898
"16",3.221,3.272,3.134,3.171,2872000,1.852773,2015-01-23,"CPLE6.SA",-0.0234063311896241,-0.0234062211271944
"17",3.125,3.169,3.068,3.155,4789000,1.843425,2015-01-26,"CPLE6.SA",-0.00504541031200256,-0.00504572690003158
"18",3.117,3.251,3.059,3.221,4027000,1.881988,2015-01-27,"CPLE6.SA",0.0209192128782023,0.0209191759112521
"19",3.198,3.247,3.138,3.198,3504000,1.868549,2015-01-28,"CPLE6.SA",-0.0071408531829108,-0.00714063955293387
"20",3.202,3.333,3.144,3.292,5362000,1.923472,2015-01-29,"CPLE6.SA",0.0293933956240913,0.0293933708567855
"21",3.23,3.23,3.072,3.13,8731000,1.828818,2015-01-30,"CPLE6.SA",-0.0492099703037008,-0.0492102065613609
"22",3.139,3.332,3.083,3.302,4793000,1.929315,2015-02-02,"CPLE6.SA",0.0549518869564931,0.0549520766773164
"23",3.377,3.377,3.249,3.303,6829000,1.929899,2015-02-03,"CPLE6.SA",0.000302698107877752,0.000302846759539621
"24",3.335,3.358,3.183,3.203,5746000,1.871471,2015-02-04,"CPLE6.SA",-0.0302751594772576,-0.0302755071147442
"25",3.182,3.231,3.104,3.142,5926000,1.835829,2015-02-05,"CPLE6.SA",-0.0190449117298639,-0.0190446456447081
"26",3.1,3.159,3.086,3.123,4958000,1.824727,2015-02-06,"CPLE6.SA",-0.00604740419723182,-0.0060471037555696
"27",3.117,3.225,3.079,3.204,2989000,1.872054,2015-02-09,"CPLE6.SA",0.0259364825532806,0.0259365994236311
"28",3.152,3.176,3.075,3.091,5446000,1.80603,2015-02-10,"CPLE6.SA",-0.0352682134169207,-0.0352684144818977
"29",3.07,3.125,3.063,3.125,5604000,1.825896,2015-02-11,"CPLE6.SA",0.0109998172787826,0.0109996764801035
"30",3.15,3.246,3.135,3.188,6140000,1.862706,2015-02-12,"CPLE6.SA",0.0201599652992284,0.02016
"31",3.208,3.36,3.208,3.336,5160000,1.949181,2015-02-13,"CPLE6.SA",0.0464243954762589,0.0464240903387703
"32",3.28,3.355,3.181,3.253,10988000,1.900685,2015-02-18,"CPLE6.SA",-0.0248801932709174,-0.0248800959232613
"33",3.241,3.347,3.215,3.215,7165000,1.878482,2015-02-19,"CPLE6.SA",-0.0116815779574206,-0.0116815247463881
"34",3.241,3.27,3.152,3.176,4471000,1.855694,2015-02-20,"CPLE6.SA",-0.0121310717909461,-0.0121306376360808
"35",3.14,3.227,3.13,3.211,5121000,1.876145,2015-02-23,"CPLE6.SA",0.0110206747448662,0.0110201511335011
"36",3.204,3.231,3.174,3.193,4902000,1.865628,2015-02-24,"CPLE6.SA",-0.00560564348704384,-0.00560573030208655
"37",3.19,3.292,3.177,3.258,3743000,1.903606,2015-02-25,"CPLE6.SA",0.0203566841835563,0.020357031005324
"38",3.269,3.382,3.245,3.381,4873000,1.975474,2015-02-26,"CPLE6.SA",0.0377536107787011,0.0377532228360957
"39",3.379,3.45,3.344,3.434,10267000,2.006441,2015-02-27,"CPLE6.SA",0.0156757314953273,0.015675835551612
"40",3.449,3.449,3.365,3.405,5206000,1.989496,2015-03-02,"CPLE6.SA",-0.00844530190521431,-0.00844496214327328
"41",3.443,3.47,3.364,3.367,4531000,1.967294,2015-03-03,"CPLE6.SA",-0.0111596102731545,-0.0111600587371512
"42",3.326,3.352,3.232,3.276,4398000,1.914123,2015-03-04,"CPLE6.SA",-0.0270274803867648,-0.0270270270270271
"43",3.275,3.305,3.216,3.24,8127000,1.893089,2015-03-05,"CPLE6.SA",-0.0109888444995436,-0.0109890109890108
"44",3.219,3.289,3.182,3.286,2974000,1.919966,2015-03-06,"CPLE6.SA",0.0141974307599908,0.0141975308641975
"45",3.225,3.262,3.153,3.162,6094000,1.847515,2015-03-09,"CPLE6.SA",-0.0377355640672804,-0.0377358490566038
"46",3.121,3.259,3.106,3.217,4945000,1.87965,2015-03-10,"CPLE6.SA",0.0173936341518202,0.0173940543959519
"47",3.245,3.259,3.156,3.215,4384000,1.878482,2015-03-11,"CPLE6.SA",-0.000621392280477751,-0.000621697233447405
"48",3.218,3.331,3.205,3.316,5343000,1.937495,2015-03-12,"CPLE6.SA",0.0314152597682598,0.0314152410575428
"49",3.228,3.246,3.178,3.215,8145000,1.878482,2015-03-13,"CPLE6.SA",-0.0304584011829708,-0.0304583835946924
"50",3.213,3.282,3.205,3.254,4567000,1.901269,2015-03-16,"CPLE6.SA",0.0121305394462126,0.012130637636081
"51",3.22,3.354,3.211,3.305,7271000,1.931068,2015-03-17,"CPLE6.SA",0.0156732161519491,0.0156730178242164
"52",3.316,3.409,3.253,3.409,7082000,1.991833,2015-03-18,"CPLE6.SA",0.0314670431077517,0.031467473524962
"53",3.386,3.386,3.311,3.35,3481000,1.957361,2015-03-19,"CPLE6.SA",-0.0173066717942719,-0.017307128190085
"54",3.417,3.525,3.346,3.436,6923000,2.00761,2015-03-20,"CPLE6.SA",0.0256718101566344,0.0256716417910448
"55",3.444,3.512,3.409,3.464,4938000,2.023969,2015-03-23,"CPLE6.SA",0.00814849497661396,0.00814901047729921
"56",3.466,3.514,3.389,3.399,4921000,1.985991,2015-03-24,"CPLE6.SA",-0.0187641213872347,-0.0187644341801385
"57",3.455,3.51,3.37,3.375,7128000,1.971968,2015-03-25,"CPLE6.SA",-0.00706095848369914,-0.00706090026478379
"58",3.33,3.38,3.254,3.299,5542000,1.927562,2015-03-26,"CPLE6.SA",-0.0225186209918213,-0.0225185185185185
"59",3.266,3.373,3.231,3.306,4770000,1.931652,2015-03-27,"CPLE6.SA",0.002121851333446,0.00212185510760832
"60",3.324,3.436,3.309,3.398,2770000,1.985407,2015-03-30,"CPLE6.SA",0.027828511553841,0.0278281911675742
"61",3.35,3.396,3.324,3.39,6247000,1.980732,2015-03-31,"CPLE6.SA",-0.00235468092940139,-0.00235432607416131
"62",3.4,3.565,3.364,3.52,7566000,2.05669,2015-04-01,"CPLE6.SA",0.0383484489572543,0.0383480825958702
"63",3.588,3.651,3.56,3.571,9582000,2.086488,2015-04-02,"CPLE6.SA",0.0144883283333901,0.0144886363636365
"64",3.601,3.709,3.601,3.675,3895000,2.147254,2015-04-06,"CPLE6.SA",0.0291235799103566,0.0291234948193781
"65",3.674,3.698,3.5,3.508,4729000,2.049678,2015-04-07,"CPLE6.SA",-0.0454422252793568,-0.0454421768707483
"66",3.552,3.58,3.438,3.495,3827000,2.042082,2015-04-08,"CPLE6.SA",-0.00370594795865498,-0.00370581527936142
