"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",7.125,7.16,6.89,6.95,6262400,5.551368,2015-01-02,"CSAN3.SA",NA,NA
"2",6.85,6.87,6.475,6.5375,7609200,5.22188,2015-01-05,"CSAN3.SA",-0.059352577598891,-0.0593525179856116
"3",6.5625,6.6025,5.99,6.28,11667600,5.0162,2015-01-06,"CSAN3.SA",-0.0393881130933685,-0.0393881453154875
"4",6.3,6.5325,6.155,6.3725,10079200,5.090086,2015-01-07,"CSAN3.SA",0.0147294764961525,0.0147292993630572
"5",6.4975,6.545,6.2525,6.45,7828400,5.151989,2015-01-08,"CSAN3.SA",0.01216148410852,0.0121616320125539
"6",6.385,6.59,6.25,6.25,7223600,4.992238,2015-01-09,"CSAN3.SA",-0.0310076360799684,-0.0310077519379846
"7",6.225,6.2825,5.86,5.86,8142800,4.680722,2015-01-12,"CSAN3.SA",-0.0624000698684638,-0.0623999999999999
"8",5.85,6.245,5.8275,6.2,9527200,4.9523,2015-01-13,"CSAN3.SA",0.0580205361480557,0.0580204778156996
"9",6.125,6.5775,6.0725,6.27,7838000,5.008213,2015-01-14,"CSAN3.SA",0.0112903095531367,0.0112903225806451
"10",6.2775,6.6125,6.25,6.595,8799600,5.267809,2015-01-15,"CSAN3.SA",0.0518340573773519,0.0518341307814993
"11",6.625,6.8025,6.4425,6.4825,3834400,5.177949,2015-01-16,"CSAN3.SA",-0.017058325387272,-0.0170583775587566
"12",6.48,6.5525,6.15,6.15,4446000,4.912362,2015-01-19,"CSAN3.SA",-0.0512919304535444,-0.0512919398380254
"13",6.4575,6.64,6.35,6.425,8954400,5.13202,2015-01-20,"CSAN3.SA",0.0447153528180537,0.0447154471544715
"14",6.46,6.5625,6.295,6.4525,7246000,5.153986,2015-01-21,"CSAN3.SA",0.00428018596965707,0.00428015564202333
"15",6.5025,6.95,6.5,6.79,12705600,5.423568,2015-01-22,"CSAN3.SA",0.0523055359482933,0.0523053080201472
"16",6.5025,7.0375,6.5,6.825,6195200,5.451523,2015-01-23,"CSAN3.SA",0.00515435595165381,0.00515463917525771
"17",6.7475,6.94,6.695,6.7875,5332000,5.421571,2015-01-26,"CSAN3.SA",-0.00549424445242175,-0.00549450549450559
"18",6.76,6.8775,6.5975,6.625,6306000,5.291772,2015-01-27,"CSAN3.SA",-0.0239412155627954,-0.0239410681399631
"19",6.6,6.64,6.395,6.4475,3557600,5.149992,2015-01-28,"CSAN3.SA",-0.0267925375469691,-0.0267924528301887
"20",6.485,6.57,6.38,6.51,5338800,5.199915,2015-01-29,"CSAN3.SA",0.00969380146609922,0.00969367972082202
"21",6.445,6.445,6.06,6.1325,8293200,4.898384,2015-01-30,"CSAN3.SA",-0.0579876786447471,-0.0579877112135176
