"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",5.46,5.58,5.03,5.08,5823600,3.858843,2015-01-02,"CSNA3.SA",NA,NA
"2",5.04,5.04,4.77,4.83,7627400,3.668938,2015-01-05,"CSNA3.SA",-0.0492129376603297,-0.0492125984251969
"3",4.89,5.37,4.86,5.22,10139900,3.965188,2015-01-06,"CSNA3.SA",0.0807454364178408,0.0807453416149069
"4",5.37,5.8,5.28,5.79,9987200,4.398169,2015-01-07,"CSNA3.SA",0.109195579125126,0.109195402298851
"5",5.86,5.99,5.45,5.6,9124600,4.253842,2015-01-08,"CSNA3.SA",-0.0328152465264524,-0.0328151986183075
"6",5.5,5.54,5.26,5.36,8553900,4.071535,2015-01-09,"CSNA3.SA",-0.0428570219580322,-0.0428571428571427
"7",5.36,5.42,5.16,5.27,3910700,4.003169,2015-01-12,"CSNA3.SA",-0.0167912101946809,-0.0167910447761196
"8",5.36,5.63,5.06,5.09,8787100,3.866438,2015-01-13,"CSNA3.SA",-0.0341556901544751,-0.0341555977229601
"9",4.98,5.05,4.82,4.95,7945100,3.760093,2015-01-14,"CSNA3.SA",-0.0275046438091081,-0.0275049115913555
"10",4.92,5.16,4.85,4.87,7296000,3.699323,2015-01-15,"CSNA3.SA",-0.0161618342950559,-0.0161616161616162
"11",4.94,5.25,4.87,5.16,6641600,3.919612,2015-01-16,"CSNA3.SA",0.0595484633269383,0.0595482546201231
"12",5.13,5.15,4.78,4.82,5926000,3.661342,2015-01-19,"CSNA3.SA",-0.0658917260177793,-0.0658914728682171
"13",4.94,5.18,4.85,5.07,8780800,3.851247,2015-01-20,"CSNA3.SA",0.0518675939040931,0.0518672199170125
"14",5.07,5.27,4.91,5.26,6248300,3.995574,2015-01-21,"CSNA3.SA",0.0374753943333159,0.0374753451676528
"15",5.3,5.52,5.26,5.36,5477100,4.071535,2015-01-22,"CSNA3.SA",0.0190112859879457,0.0190114068441065
"16",5.26,5.28,5,5,4600600,3.798073,2015-01-23,"CSNA3.SA",-0.0671643495634938,-0.0671641791044777
"17",4.95,5.04,4.83,5.02,6029200,3.813266,2015-01-26,"CSNA3.SA",0.00400018641031918,0.004
"18",4.92,4.98,4.75,4.79,6366800,3.638554,2015-01-27,"CSNA3.SA",-0.0458168929206617,-0.045816733067729
"19",4.75,4.77,4.56,4.57,6594900,3.47144,2015-01-28,"CSNA3.SA",-0.0459286848566767,-0.045929018789144
"20",4.61,4.68,4.37,4.4,7142900,3.342304,2015-01-29,"CSNA3.SA",-0.0371995483142442,-0.037199124726477
"21",4.3,4.36,4.15,4.2,7664000,3.190382,2015-01-30,"CSNA3.SA",-0.0454542734592663,-0.0454545454545455
"22",4.24,4.36,4.15,4.36,4262200,3.31192,2015-02-02,"CSNA3.SA",0.0380951246590535,0.0380952380952382
"23",4.42,4.65,4.42,4.55,4733300,3.456247,2015-02-03,"CSNA3.SA",0.0435780453634145,0.0435779816513759
"24",4.55,4.68,4.42,4.43,4668000,3.365093,2015-02-04,"CSNA3.SA",-0.0263736937782514,-0.0263736263736264
"25",4.4,4.54,4.35,4.43,4117800,3.365093,2015-02-05,"CSNA3.SA",0,0
"26",4.39,4.59,4.3,4.57,9262200,3.47144,2015-02-06,"CSNA3.SA",0.031602989872791,0.0316027088036119
"27",4.58,5.12,4.57,4.98,8011100,3.782882,2015-02-09,"CSNA3.SA",0.0897155071094415,0.0897155361050328
