"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",15.4,15.42,15.07,15.2,95400,13.697559,2015-01-02,"CVCB3.SA",NA,NA
"2",15.37,15.37,14.88,15,132600,13.517326,2015-01-05,"CVCB3.SA",-0.0131580378664549,-0.013157894736842
"3",14.99,15.44,14.7,14.8,133300,13.337098,2015-01-06,"CVCB3.SA",-0.0133331104095589,-0.0133333333333333
"4",14.89,14.95,14.58,14.67,139600,13.219947,2015-01-07,"CVCB3.SA",-0.00878384488139772,-0.00878378378378386
"5",14.76,14.8,14.15,14.15,198000,12.751347,2015-01-08,"CVCB3.SA",-0.0354464356022001,-0.0354464894342195
"6",14.22,14.22,13.85,14,86100,12.616173,2015-01-09,"CVCB3.SA",-0.010600762413571,-0.010600706713781
"7",14.05,14.2,13.43,13.45,334600,12.120538,2015-01-12,"CVCB3.SA",-0.0392856851281288,-0.0392857142857144
"8",13.54,14,13.5,13.89,116400,12.517046,2015-01-13,"CVCB3.SA",0.0327137293740591,0.0327137546468403
"9",13.9,13.96,13.63,13.77,277700,12.408909,2015-01-14,"CVCB3.SA",-0.00863917892448429,-0.00863930885529163
"10",13.99,14.33,13.75,14,97400,12.616173,2015-01-15,"CVCB3.SA",0.0167028382591894,0.0167029774872913
"11",14.15,14.27,13.76,14.17,399300,12.769372,2015-01-16,"CVCB3.SA",0.0121430643032558,0.0121428571428572
"12",14.13,14.35,13.85,14.35,75300,12.931577,2015-01-19,"CVCB3.SA",0.0127026607103309,0.0127028934368383
"13",14.4,14.4,13.66,14,302200,12.616173,2015-01-20,"CVCB3.SA",-0.0243902193831426,-0.024390243902439
"14",14.01,14.3,13.79,14.1,72900,12.706289,2015-01-21,"CVCB3.SA",0.00714289507602661,0.00714285714285712
"15",14.05,14.29,13.81,14.29,146100,12.877508,2015-01-22,"CVCB3.SA",0.0134751381776379,0.0134751773049646
"16",14.05,14.34,13.81,14.34,87000,12.922566,2015-01-23,"CVCB3.SA",0.00349896889988344,0.00349895031490566
"17",14.21,14.25,13.95,13.95,128900,12.571116,2015-01-26,"CVCB3.SA",-0.0271966109517259,-0.0271966527196653
"18",13.96,13.97,13.7,13.7,204000,12.345826,2015-01-27,"CVCB3.SA",-0.0179212410417658,-0.017921146953405
"19",13.59,13.67,13.13,13.2,89500,11.895249,2015-01-28,"CVCB3.SA",-0.0364963024750228,-0.0364963503649635
"20",13.33,13.37,12.71,13.2,176600,11.895249,2015-01-29,"CVCB3.SA",0,0
"21",12.86,12.93,12.53,12.62,659900,11.372579,2015-01-30,"CVCB3.SA",-0.0439393912645292,-0.0439393939393939
"22",12.44,12.8,12.31,12.8,135200,11.534787,2015-02-02,"CVCB3.SA",0.0142630796409504,0.0142630744849446
"23",12.9,13.7,12.41,13.7,245300,12.345826,2015-02-03,"CVCB3.SA",0.0703124383657887,0.0703124999999998
"24",13.59,13.59,13.06,13.36,131800,12.039433,2015-02-04,"CVCB3.SA",-0.0248175375223982,-0.0248175182481751
"25",13.27,14.08,13.24,13.7,727900,12.345826,2015-02-05,"CVCB3.SA",0.0254491220641371,0.0254491017964071
"26",14.2,14.52,13.98,14.35,978100,12.931577,2015-02-06,"CVCB3.SA",0.0474452661166616,0.0474452554744527
"27",14.44,14.65,14.42,14.65,456800,13.201925,2015-02-09,"CVCB3.SA",0.0209060348942747,0.0209059233449478
"28",14.66,15.05,14.5,14.5,164100,13.066751,2015-02-10,"CVCB3.SA",-0.0102389613635889,-0.0102389078498294
"29",14.48,14.79,14.43,14.55,180400,13.111808,2015-02-11,"CVCB3.SA",0.00344821754084079,0.00344827586206908
"30",14.69,14.95,14.51,14.55,289400,13.111808,2015-02-12,"CVCB3.SA",0,0
"31",14.49,14.9,14.15,14.9,154000,13.427212,2015-02-13,"CVCB3.SA",0.0240549587059238,0.0240549828178693
"32",14.91,15.07,14.56,14.65,76600,13.201925,2015-02-18,"CVCB3.SA",-0.0167783900336125,-0.0167785234899329
"33",14.54,14.75,14.54,14.65,102700,13.201925,2015-02-19,"CVCB3.SA",0,0
"34",14.68,14.85,14.5,14.6,70700,13.156866,2015-02-20,"CVCB3.SA",-0.00341306286772558,-0.0034129692832765
"35",14.58,14.71,14.27,14.3,113400,12.88652,2015-02-23,"CVCB3.SA",-0.0205479025172104,-0.0205479452054794
"36",14.21,14.48,14.13,14.35,279400,12.931577,2015-02-24,"CVCB3.SA",0.00349644434649532,0.00349650349650332
"37",14.29,14.78,14.22,14.46,98200,13.030704,2015-02-25,"CVCB3.SA",0.00766549972984731,0.00766550522648091
"38",14.39,14.53,13.9,14.34,483200,12.922566,2015-02-26,"CVCB3.SA",-0.00829870742210093,-0.00829875518672207
"39",14.38,14.59,14.24,14.29,198200,12.877508,2015-02-27,"CVCB3.SA",-0.00348676880427612,-0.00348675034867507
"40",14.28,14.34,14.07,14.17,104300,12.769372,2015-03-02,"CVCB3.SA",-0.00839727686443681,-0.00839748075577318
"41",14.39,14.39,13.89,14.1,103300,12.706289,2015-03-03,"CVCB3.SA",-0.00494018030017451,-0.0049400141143261
"42",13.98,14.29,13.93,14.29,311800,12.877508,2015-03-04,"CVCB3.SA",0.0134751381776379,0.0134751773049646
"43",14.35,14.49,14.24,14.24,79200,12.832451,2015-03-05,"CVCB3.SA",-0.00349889124510738,-0.00349895031490544
"44",14.21,14.22,13.85,14.15,183900,12.751347,2015-03-06,"CVCB3.SA",-0.00632022674390109,-0.0063202247191011
"45",14.08,14.11,13.49,13.68,1483500,12.327804,2015-03-09,"CVCB3.SA",-0.0332155496983966,-0.0332155477031802
"46",13.59,13.9,13.39,13.9,170500,12.526058,2015-03-10,"CVCB3.SA",0.0160818585370113,0.0160818713450293
"47",13.8,13.9,13.7,13.85,230600,12.481001,2015-03-11,"CVCB3.SA",-0.00359706142187766,-0.00359712230215836
"48",13.93,14.05,13.8,14,171700,12.616173,2015-03-12,"CVCB3.SA",0.0108302210696081,0.0108303249097472
"49",13.96,13.96,13.56,13.7,211400,12.345826,2015-03-13,"CVCB3.SA",-0.0214286059647406,-0.0214285714285715
"50",13.73,13.83,13.34,13.49,211200,12.156585,2015-03-16,"CVCB3.SA",-0.0153283385008018,-0.0153284671532846
"51",13.45,13.62,13.38,13.5,194600,12.165595,2015-03-17,"CVCB3.SA",0.000741162094453296,0.000741289844329085
"52",13.48,13.85,13.36,13.85,405300,12.481001,2015-03-18,"CVCB3.SA",0.0259260644464985,0.0259259259259259
"53",13.78,14.22,13.69,14.15,336000,12.751347,2015-03-19,"CVCB3.SA",0.0216606023827737,0.0216606498194947
"54",14.19,14.25,13.98,14,417900,12.616173,2015-03-20,"CVCB3.SA",-0.010600762413571,-0.010600706713781
"55",14.11,14.13,13.84,13.9,116200,12.526058,2015-03-23,"CVCB3.SA",-0.00714281581268739,-0.00714285714285712
"56",13.9,13.9,13.4,13.6,190300,12.255713,2015-03-24,"CVCB3.SA",-0.0215826080319922,-0.0215827338129497
"57",13.58,14.45,13.47,14.25,316500,12.841462,2015-03-25,"CVCB3.SA",0.0477939553577993,0.0477941176470589
"58",14.15,14.15,13.87,14.1,212400,12.706289,2015-03-26,"CVCB3.SA",-0.0105262936572176,-0.0105263157894737
"59",14.09,14.1,13.85,14.1,262600,12.706289,2015-03-27,"CVCB3.SA",0,0
"60",14.04,14.19,13.56,13.56,429000,12.219665,2015-03-30,"CVCB3.SA",-0.0382978854014732,-0.0382978723404255
"61",13.63,14.15,13.36,14.15,493500,12.751347,2015-03-31,"CVCB3.SA",0.043510358099015,0.0435103244837758
"62",14.16,14.2,13.95,14.15,354600,12.751347,2015-04-01,"CVCB3.SA",0,0
"63",14.01,14.39,14,14.25,514900,12.841462,2015-04-02,"CVCB3.SA",0.00706709651929316,0.00706713780918733
"64",14.33,14.85,14.19,14.85,394200,13.382154,2015-04-06,"CVCB3.SA",0.0421051746288701,0.0421052631578946
"65",14.89,14.98,14.48,14.72,315600,13.265006,2015-04-07,"CVCB3.SA",-0.00875404662059642,-0.00875420875420874
"66",14.8,15.74,14.8,15.6,406400,14.058023,2015-04-08,"CVCB3.SA",0.0597826340975647,0.0597826086956521
"67",15.6,16.290001,15.33,16.24,259900,14.63476,2015-04-09,"CVCB3.SA",0.0410254699398342,0.0410256410256409
"68",16,16.440001,15.75,15.85,254000,14.283311,2015-04-10,"CVCB3.SA",-0.0240146746513097,-0.0240147783251231
