"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",10.57,10.79,10.15,10.65,1174100,8.797668,2015-01-02,"ECOR3.SA",NA,NA
"2",10.56,10.56,9.85,9.91,1658200,8.186374,2015-01-05,"ECOR3.SA",-0.0694836404374432,-0.0694835680751174
"3",9.9,10.08,9.8,9.8,1222000,8.095507,2015-01-06,"ECOR3.SA",-0.0110997860591272,-0.0110998990918264
"4",9.88,10.65,9.76,10.58,1382700,8.739842,2015-01-07,"ECOR3.SA",0.0795916796810874,0.0795918367346937
"5",10.7,10.89,10.41,10.44,738000,8.624191,2015-01-08,"ECOR3.SA",-0.0132326190793838,-0.0132325141776938
"6",10.35,10.51,10.08,10.08,758000,8.326805,2015-01-09,"ECOR3.SA",-0.0344827706158177,-0.0344827586206896
"7",10.14,10.28,9.95,9.98,778100,8.244199,2015-01-12,"ECOR3.SA",-0.00992049171320819,-0.00992063492063489
"8",10.05,10.22,9.99,10.19,645000,8.417674,2015-01-13,"ECOR3.SA",0.0210420684896131,0.0210420841683365
"9",9.96,10.36,9.87,10.3,1090700,8.508542,2015-01-14,"ECOR3.SA",0.0107949060512442,0.0107948969578018
"10",10.3,10.67,10.21,10.63,1521500,8.781146,2015-01-15,"ECOR3.SA",0.0320388616522078,0.0320388349514562
"11",10.6,11.3,10.58,11.18,1288900,9.235485,2015-01-16,"ECOR3.SA",0.0517402853796078,0.0517403574788333
"12",11.15,11.15,10.69,10.75,955700,8.880276,2015-01-19,"ECOR3.SA",-0.038461326070044,-0.0384615384615384
"13",10.98,11.27,10.93,11.23,1287900,9.276789,2015-01-20,"ECOR3.SA",0.0446509770642265,0.0446511627906978
"14",11.16,11.7,11.06,11.37,2516200,9.392439,2015-01-21,"ECOR3.SA",0.0124665980869025,0.01246660730187
"15",11.39,11.64,11.05,11.25,17498500,9.293312,2015-01-22,"ECOR3.SA",-0.0105539146967044,-0.0105540897097625
"16",11.29,11.29,10.78,10.85,663800,8.962882,2015-01-23,"ECOR3.SA",-0.0355556770288138,-0.0355555555555556
"17",10.8,10.84,10.49,10.56,888800,8.72332,2015-01-26,"ECOR3.SA",-0.0267282331732138,-0.0267281105990783
"18",10.5,10.97,10.35,10.74,1315300,8.872013,2015-01-27,"ECOR3.SA",0.017045459756148,0.0170454545454546
"19",10.89,10.9,10.45,10.75,967200,8.880276,2015-01-28,"ECOR3.SA",0.00093135571374825,0.000931098696461907
"20",10.6,10.86,10.48,10.79,1362900,8.913318,2015-01-29,"ECOR3.SA",0.00372083029851766,0.00372093023255804
"21",10.61,10.67,10.24,10.55,3540800,8.715059,2015-01-30,"ECOR3.SA",-0.0222430075982928,-0.0222428174235402
"22",10.43,10.49,10.28,10.35,1012000,8.549847,2015-02-02,"ECOR3.SA",-0.0189570718913091,-0.0189573459715641
"23",10.4,10.8,10.37,10.66,1374000,8.805928,2015-02-03,"ECOR3.SA",0.0299515301267965,0.029951690821256
"24",10.73,10.85,10.33,10.8,6319400,8.921579,2015-02-04,"ECOR3.SA",0.0131333120143613,0.0131332082551596
"25",10.48,11.24,10.48,11.17,2713800,9.227224,2015-02-05,"ECOR3.SA",0.0342590700592351,0.0342592592592592
"26",11.15,11.16,10.4,10.59,2482800,8.748103,2015-02-06,"ECOR3.SA",-0.0519247175531882,-0.0519247985675918
"27",10.37,10.78,10.35,10.73,1186300,8.863751,2015-02-09,"ECOR3.SA",0.0132197803340908,0.0132200188857414
"28",10.74,10.74,10.3,10.39,902700,8.582889,2015-02-10,"ECOR3.SA",-0.0316865850586282,-0.0316868592730661
"29",10.36,10.37,9.8,9.91,1834800,8.186374,2015-02-11,"ECOR3.SA",-0.046198313877763,-0.0461982675649664
"30",9.96,10.18,9.86,9.86,1159800,8.14507,2015-02-12,"ECOR3.SA",-0.005045457243952,-0.00504540867810299
"31",9.95,10.32,9.88,10.28,1036100,8.492021,2015-02-13,"ECOR3.SA",0.042596441773981,0.0425963488843812
"32",10.43,10.7,10.31,10.5,1048100,8.673758,2015-02-18,"ECOR3.SA",0.0214009126920436,0.0214007782101169
