"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",8.03,8.085,7.875,8,232400,6.007024,2015-01-02,"FLRY3.SA",NA,NA
"2",7.945,7.97,7.665,7.665,174000,5.755481,2015-01-05,"FLRY3.SA",-0.0418748118868846,-0.041875
"3",7.62,7.71,7.555,7.555,108800,5.672884,2015-01-06,"FLRY3.SA",-0.0143510160141264,-0.0143509458577952
"4",7.575,7.765,7.45,7.5,156200,5.631585,2015-01-07,"FLRY3.SA",-0.00728007130059416,-0.00727994705493051
"5",7.5,7.52,7.335,7.4,335400,5.556498,2015-01-08,"FLRY3.SA",-0.0133331912774112,-0.0133333333333333
"6",7.4,7.43,7.375,7.375,131800,5.537725,2015-01-09,"FLRY3.SA",-0.003378566859918,-0.0033783783783784
"7",7.36,7.445,7.255,7.3,311200,5.48141,2015-01-12,"FLRY3.SA",-0.0101693384918896,-0.0101694915254238
"8",7.495,7.495,7.245,7.255,146600,5.447621,2015-01-13,"FLRY3.SA",-0.00616428984513118,-0.00616438356164384
"9",7.26,7.29,7.2,7.26,98200,5.451375,2015-01-14,"FLRY3.SA",0.000689108144637851,0.000689179875947632
"10",7.345,7.4,7.215,7.305,71600,5.485164,2015-01-15,"FLRY3.SA",0.006198252734402,0.00619834710743805
"11",7.285,7.295,6.975,7.125,141000,5.350006,2015-01-16,"FLRY3.SA",-0.024640648848421,-0.0246406570841888
"12",7.14,7.4,7.14,7.4,267000,5.556498,2015-01-19,"FLRY3.SA",0.0385965922281211,0.0385964912280703
"13",7.305,7.375,6.875,6.995,650000,5.252392,2015-01-20,"FLRY3.SA",-0.054729795637468,-0.0547297297297298
"14",7.005,7.035,6.5,6.75,1072600,5.068427,2015-01-21,"FLRY3.SA",-0.0350249943263946,-0.0350250178699071
"15",6.76,6.89,6.7,6.89,256600,5.173549,2015-01-22,"FLRY3.SA",0.0207405571787855,0.0207407407407407
"16",6.8,6.915,6.8,6.915,239000,5.192322,2015-01-23,"FLRY3.SA",0.00362865027469539,0.00362844702467346
"17",6.915,6.985,6.75,6.855,150200,5.147269,2015-01-26,"FLRY3.SA",-0.00867685016453146,-0.00867678958785245
"18",6.8,7.445,6.8,7.17,308000,5.383796,2015-01-27,"FLRY3.SA",0.0459519407281805,0.0459518599562363
"19",7.16,7.16,6.825,6.875,138400,5.162286,2015-01-28,"FLRY3.SA",-0.0411438323443162,-0.0411436541143654
"20",6.915,7.095,6.79,7.025,236800,5.27492,2015-01-29,"FLRY3.SA",0.0218186284138462,0.021818181818182
"21",7,7.005,6.855,6.925,255000,5.199831,2015-01-30,"FLRY3.SA",-0.0142350974043208,-0.0142348754448399
"22",6.925,7.405,6.66,7.17,224800,5.383796,2015-02-02,"FLRY3.SA",0.0353790344340039,0.0353790613718412
"23",7.155,7.69,7.045,7.25,291000,5.443866,2015-02-03,"FLRY3.SA",0.0111575550039413,0.0111576011157601
"24",7.485,7.485,7.125,7.165,210000,5.380042,2015-02-04,"FLRY3.SA",-0.0117240211276324,-0.0117241379310344
"25",7.21,7.45,7.15,7.365,265200,5.530217,2015-02-05,"FLRY3.SA",0.0279133508623166,0.0279134682484299
"26",7.355,7.355,7.005,7.045,850800,5.289936,2015-02-06,"FLRY3.SA",-0.0434487471287294,-0.0434487440597421
"27",7.08,7.255,7.02,7.2,63400,5.406322,2015-02-09,"FLRY3.SA",0.0220014003950142,0.022001419446416
"28",7.2,7.2,7.055,7.055,443200,5.297444,2015-02-10,"FLRY3.SA",-0.0201390150272219,-0.0201388888888889
"29",7.095,7.11,7.045,7.05,22200,5.293692,2015-02-11,"FLRY3.SA",-0.000708266099651023,-0.000708717221828525
"30",7.145,7.2,7.115,7.15,25600,5.368778,2015-02-12,"FLRY3.SA",0.0141840515088523,0.0141843971631206
"31",7.215,7.25,7.1,7.175,113200,5.387551,2015-02-13,"FLRY3.SA",0.00349669887635518,0.00349650349650332
"32",7.15,7.2,7.15,7.2,55600,5.406322,2015-02-18,"FLRY3.SA",0.00348414335196079,0.00348432055749126
"33",7.13,7.2,7.125,7.2,66800,5.406322,2015-02-19,"FLRY3.SA",0,0
"34",7.13,7.13,6.88,6.88,850400,5.166041,2015-02-20,"FLRY3.SA",-0.0444444485548586,-0.0444444444444445
"35",6.875,7.095,6.805,7.09,425000,5.323726,2015-02-23,"FLRY3.SA",0.0305233737014476,0.0305232558139534
"36",7.09,7.12,7.04,7.075,472600,5.312462,2015-02-24,"FLRY3.SA",-0.00211581136970607,-0.00211565585331452
"37",6.9,7.19,6.9,7.075,62000,5.312462,2015-02-25,"FLRY3.SA",0,0
"38",7.185,7.35,7.01,7.05,51000,5.293692,2015-02-26,"FLRY3.SA",-0.00353320174337246,-0.00353356890459366
"39",7.07,7.135,6.865,6.905,80200,5.184813,2015-02-27,"FLRY3.SA",-0.0205676869753662,-0.0205673758865248
"40",6.975,7.075,6.845,6.885,243200,5.169796,2015-03-02,"FLRY3.SA",-0.00289634360969249,-0.00289645184648812
"41",6.945,7.08,6.925,6.995,1321600,5.252392,2015-03-03,"FLRY3.SA",0.0159766458869945,0.0159767610748003
"42",6.99,7.07,6.94,7.05,274800,5.293692,2015-03-04,"FLRY3.SA",0.00786308409577963,0.00786275911365264
"43",6.985,7.1,6.875,6.9,77800,5.18106,2015-03-05,"FLRY3.SA",-0.0212766439755089,-0.0212765957446808
