"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",14.97,15.2,14.61,14.99,901900,14.99,2015-01-02,"GOLL4.SA",NA,NA
"2",14.9,15.01,14.41,14.85,1272500,14.85,2015-01-05,"GOLL4.SA",-0.00933955970647105,-0.00933955970647105
"3",14.75,15.21,14.65,15.21,2183500,15.21,2015-01-06,"GOLL4.SA",0.0242424242424244,0.0242424242424244
"4",15.15,15.33,14.55,14.55,1846900,14.55,2015-01-07,"GOLL4.SA",-0.0433925049309665,-0.0433925049309665
"5",14.41,14.65,14.2,14.27,1569500,14.27,2015-01-08,"GOLL4.SA",-0.0192439862542956,-0.0192439862542956
"6",14.14,14.33,13.84,14.05,1270300,14.05,2015-01-09,"GOLL4.SA",-0.0154169586545199,-0.0154169586545199
"7",14.05,14.4,13.67,14.25,2385300,14.25,2015-01-12,"GOLL4.SA",0.0142348754448398,0.0142348754448398
"8",14.22,14.63,13.69,13.69,2967400,13.69,2015-01-13,"GOLL4.SA",-0.0392982456140352,-0.0392982456140352
"9",13.69,14.04,13.39,13.78,2174300,13.78,2015-01-14,"GOLL4.SA",0.00657414170927684,0.00657414170927684
"10",13.6,14.2,13.6,14.05,1881800,14.05,2015-01-15,"GOLL4.SA",0.0195936139332367,0.0195936139332367
"11",14.19,14.5,13.87,14.33,1172200,14.33,2015-01-16,"GOLL4.SA",0.0199288256227756,0.0199288256227756
"12",14.35,14.35,13.58,13.58,921000,13.58,2015-01-19,"GOLL4.SA",-0.052337752965806,-0.052337752965806
"13",13.72,14,12.83,13.07,2809400,13.07,2015-01-20,"GOLL4.SA",-0.0375552282768777,-0.0375552282768777
"14",13,13.27,12.81,12.94,2377100,12.94,2015-01-21,"GOLL4.SA",-0.009946442234124,-0.009946442234124
"15",13.19,13.56,12.85,13.51,3815700,13.51,2015-01-22,"GOLL4.SA",0.0440494590417311,0.0440494590417311
"16",13.19,14,12.85,13.25,895900,13.25,2015-01-23,"GOLL4.SA",-0.0192450037009623,-0.0192450037009623
"17",13.3,13.3,12.63,12.69,1655100,12.69,2015-01-26,"GOLL4.SA",-0.0422641509433963,-0.0422641509433963
"18",12.7,12.7,12.33,12.55,589600,12.55,2015-01-27,"GOLL4.SA",-0.0110323089046492,-0.0110323089046492
"19",12.47,12.75,12.1,12.18,1579000,12.18,2015-01-28,"GOLL4.SA",-0.0294820717131475,-0.0294820717131475
"20",12.28,12.9,12.1,12.84,1327700,12.84,2015-01-29,"GOLL4.SA",0.0541871921182266,0.0541871921182266
"21",12.6,12.97,12.08,12.22,1993100,12.22,2015-01-30,"GOLL4.SA",-0.0482866043613707,-0.0482866043613707
"22",12.2,12.2,11.67,11.75,2372600,11.75,2015-02-02,"GOLL4.SA",-0.0384615384615385,-0.0384615384615385
"23",11.81,12.09,11.55,11.65,2389400,11.65,2015-02-03,"GOLL4.SA",-0.00851063829787235,-0.00851063829787235
"24",11.73,11.98,11.67,11.91,2200600,11.91,2015-02-04,"GOLL4.SA",0.0223175965665237,0.0223175965665237
"25",11.87,12.06,11.73,11.75,1227700,11.75,2015-02-05,"GOLL4.SA",-0.0134340890008396,-0.0134340890008396
"26",11.62,11.67,10.83,10.95,3080600,10.95,2015-02-06,"GOLL4.SA",-0.0680851063829788,-0.0680851063829788
"27",10.98,11.09,10.55,10.69,2280000,10.69,2015-02-09,"GOLL4.SA",-0.0237442922374429,-0.0237442922374429
"28",10.56,10.9,10.56,10.82,1626000,10.82,2015-02-10,"GOLL4.SA",0.0121608980355472,0.0121608980355472
"29",11.05,11.19,10.36,10.45,3054900,10.45,2015-02-11,"GOLL4.SA",-0.034195933456562,-0.034195933456562
"30",10.6,11.18,10.6,10.94,1731500,10.94,2015-02-12,"GOLL4.SA",0.0468899521531101,0.0468899521531101
"31",10.82,11.02,10.68,10.8,907200,10.8,2015-02-13,"GOLL4.SA",-0.0127970749542961,-0.0127970749542961
"32",10.8,11.23,10.78,10.87,906800,10.87,2015-02-18,"GOLL4.SA",0.00648148148148131,0.00648148148148131
"33",10.77,10.87,10.65,10.8,680100,10.8,2015-02-19,"GOLL4.SA",-0.00643974241030343,-0.00643974241030343
