"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",6.638075,6.701902,6.467868,6.503327,15296052,4.219541,2015-01-02,"ITSA4.SA",NA,NA
"2",6.40404,6.623891,6.36858,6.524603,29130730,4.233344,2015-01-05,"ITSA4.SA",0.00327120888267207,0.00327155623575437
"3",6.538787,6.595523,6.446592,6.574247,47761121,4.265554,2015-01-06,"ITSA4.SA",0.00760864224594071,0.00760873879989332
"4",6.701902,6.921753,6.687718,6.822466,28123675,4.426606,2015-01-07,"ITSA4.SA",0.0377564086634468,0.0377562631887729
"5",6.879201,6.935937,6.716086,6.893385,22286361,4.47262,2015-01-08,"ITSA4.SA",0.0103948713754964,0.010394921718921
"6",6.822466,6.865017,6.609707,6.652259,13776021,4.316171,2015-01-09,"ITSA4.SA",-0.0349792738931544,-0.0349793316346034
"7",6.595523,6.680626,6.482052,6.538787,21813149,4.242547,2015-01-12,"ITSA4.SA",-0.0170577115688881,-0.0170576641709229
"8",6.581339,6.73027,6.552971,6.560063,24819370,4.25635,2015-01-13,"ITSA4.SA",0.00325347014423172,0.00325381450718609
"9",6.47496,6.716086,6.47496,6.595523,17346260,4.279358,2015-01-14,"ITSA4.SA",0.00540557050054624,0.00540543589291742
"10",6.638075,6.83665,6.581339,6.581339,20497011,4.270155,2015-01-15,"ITSA4.SA",-0.00215055622829408,-0.00215054969863648
"11",6.623891,6.751546,6.567155,6.701902,19676645,4.348379,2015-01-16,"ITSA4.SA",0.0183187729719414,0.0183189165609003
"12",6.673535,6.737362,6.396948,6.396948,16398426,4.150517,2015-01-19,"ITSA4.SA",-0.0455024734504514,-0.0455026050813634
"13",6.503327,6.616799,6.4395,6.524603,29573485,4.233344,2015-01-20,"ITSA4.SA",0.0199558271897211,0.0199556100815577
"14",6.567155,6.83665,6.552971,6.787006,42191717,4.403598,2015-01-21,"ITSA4.SA",0.0402173789798326,0.0402174661048342
"15",6.850834,6.950121,6.794098,6.857926,40057187,4.449613,2015-01-22,"ITSA4.SA",0.0104494097780952,0.010449379299208
"16",6.850834,6.950121,6.701902,6.808282,31230573,4.417402,2015-01-23,"ITSA4.SA",-0.0072390565201963,-0.00723892325463993
"17",6.737362,6.865017,6.69481,6.80119,24616464,4.412802,2015-01-26,"ITSA4.SA",-0.00104133606133194,-0.001041672480664
"18",6.737362,6.872109,6.666443,6.80119,21082322,4.412802,2015-01-27,"ITSA4.SA",0,0
"19",6.73027,6.843742,6.659351,6.659351,18561862,4.320771,2015-01-28,"ITSA4.SA",-0.020855456465076,-0.0208550268408911
"20",6.680626,6.772822,6.567155,6.616799,20487000,4.293164,2015-01-29,"ITSA4.SA",-0.00638936893438691,-0.00638981186004461
"21",6.524603,6.574247,6.467868,6.482052,37497810,4.205735,2015-01-30,"ITSA4.SA",-0.0203647007195625,-0.0203643786066344
"22",6.538787,6.645167,6.482052,6.545879,22728552,4.247148,2015-02-02,"ITSA4.SA",0.00984679253447984,0.00984672754862204
"23",6.794098,6.829558,6.687718,6.758638,34514573,4.385192,2015-02-03,"ITSA4.SA",0.0325027524352812,0.0325027395098505
"24",6.779914,7.141604,6.751546,7.006857,53901031,4.546245,2015-02-04,"ITSA4.SA",0.0367265561006223,0.0367261865482365
"25",6.985581,7.134512,6.935937,7.006857,45423686,4.546245,2015-02-05,"ITSA4.SA",0,0
"26",6.985581,7.09196,6.886293,7.09196,33851569,4.601462,2015-02-06,"ITSA4.SA",0.0121456278753125,0.0121456738734642
"27",7.0565,7.106144,7.021041,7.042316,26753109,4.56925,2015-02-09,"ITSA4.SA",-0.0070003837910646,-0.00700003948132821
"28",7.042316,7.099052,6.950121,6.950121,33595927,4.50943,2015-02-10,"ITSA4.SA",-0.0130918640914811,-0.0130915738515567
"29",6.809792,6.845334,6.546784,6.681842,33379227,4.424171,2015-02-11,"ITSA4.SA",-0.0189068241440714,-0.0386006229244067
"30",6.745817,6.859551,6.724492,6.767142,17006213,4.480649,2015-02-12,"ITSA4.SA",0.0127657814311426,0.012765940888755
"31",6.852442,7.037259,6.838226,7.001718,27075789,4.635967,2015-02-13,"ITSA4.SA",0.0346641747657539,0.0346639689251387
"32",7.115451,7.222076,7.044368,7.108343,21899196,4.706566,2015-02-18,"ITSA4.SA",0.0152285380806205,0.0152284053713674
"33",7.079909,7.172318,7.030151,7.094126,22927002,4.697153,2015-02-19,"ITSA4.SA",-0.00199997195407431,-0.00200004417344513
"34",7.129668,7.143884,7.008826,7.108343,14816954,4.706566,2015-02-20,"ITSA4.SA",0.00200397985758594,0.00200405236670442
"35",7.037259,7.236293,7.023043,7.158101,19765646,4.739511,2015-02-23,"ITSA4.SA",0.00699979560469366,0.00699994358741551
"36",7.200751,7.257618,7.087018,7.222076,25659565,4.781868,2015-02-24,"ITSA4.SA",0.00893699793079916,0.00893742628107641
"37",7.094126,7.25051,7.094126,7.25051,19870593,4.800696,2015-02-25,"ITSA4.SA",0.00393737342812472,0.00393709509564832
"38",7.257618,7.29316,7.179426,7.29316,16393130,4.828936,2015-02-26,"ITSA4.SA",0.005882480373679,0.00588234482815686
"39",7.29316,7.435326,7.136776,7.172318,32541760,4.748924,2015-02-27,"ITSA4.SA",-0.0165692815146028,-0.01656922376583
"40",7.150993,7.222076,7.065693,7.101234,15879790,4.708858,2015-03-02,"ITSA4.SA",-0.00843685853890264,-0.00991088236745774
"41",7.136776,7.158101,7.058584,7.115451,16316741,4.718287,2015-03-03,"ITSA4.SA",0.00200239633473753,0.00200204640489243
