"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",11.09,11.3,10.49,10.55,5281600,8.580169,2015-01-02,"JBSS3.SA",NA,NA
"2",10.3,10.67,10.2,10.6,5738600,8.620832,2015-01-05,"JBSS3.SA",0.00473918404171303,0.00473933649289093
"3",10.15,10.63,10.06,10.35,11249500,8.417509,2015-01-06,"JBSS3.SA",-0.0235850785631827,-0.0235849056603774
"4",10.51,10.9,10.49,10.64,6068100,8.653365,2015-01-07,"JBSS3.SA",0.0280196908610375,0.0280193236714976
"5",10.79,10.85,10.55,10.73,4738200,8.726558,2015-01-08,"JBSS3.SA",0.00845832806081792,0.00845864661654128
"6",10.58,10.62,10.37,10.48,4433800,8.523237,2015-01-09,"JBSS3.SA",-0.0232991060163699,-0.0232991612301957
"7",10.35,10.69,10.35,10.41,5188800,8.466307,2015-01-12,"JBSS3.SA",-0.00667938718587779,-0.00667938931297718
"8",10.48,10.54,9.99,10.19,8073000,8.287384,2015-01-13,"JBSS3.SA",-0.0211335355545224,-0.0211335254562921
"9",10.06,10.55,10.06,10.13,9554100,8.23859,2015-01-14,"JBSS3.SA",-0.00588774455244245,-0.00588812561334628
"10",10.3,10.73,10.3,10.65,6496900,8.661496,2015-01-15,"JBSS3.SA",0.0513323274977877,0.0513326752221126
"11",10.58,11.22,10.58,11.18,5882500,9.092539,2015-01-16,"JBSS3.SA",0.0497654215853705,0.0497652582159624
"12",11.03,11.34,10.61,10.83,3739700,8.807888,2015-01-19,"JBSS3.SA",-0.0313059971477714,-0.0313059033989266
"13",10.93,10.96,10.39,10.73,3794000,8.726558,2015-01-20,"JBSS3.SA",-0.00923376864010983,-0.00923361034164349
"14",10.63,11.09,10.56,10.85,5976100,8.824155,2015-01-21,"JBSS3.SA",0.0111839054985938,0.0111835973904939
"15",11.01,11.25,10.93,11.11,5709100,9.035608,2015-01-22,"JBSS3.SA",0.0239629743584513,0.023963133640553
"16",10.89,11.09,10.82,10.88,3995600,8.848552,2015-01-23,"JBSS3.SA",-0.0207020933179041,-0.0207020702070205
"17",10.89,11.18,10.67,11.04,3456800,8.97868,2015-01-26,"JBSS3.SA",0.0147061349698798,0.0147058823529411
"18",10.99,11.76,10.85,11.54,8729400,9.385321,2015-01-27,"JBSS3.SA",0.0452896194095345,0.0452898550724639
"19",11.37,11.48,11.09,11.26,5275800,9.157601,2015-01-28,"JBSS3.SA",-0.0242634215707699,-0.0242634315424609
"20",11.2,11.69,11.15,11.68,6621800,9.499183,2015-01-29,"JBSS3.SA",0.037300380307026,0.0373001776198933
"21",11.6,11.8,11.24,11.34,6373200,9.222663,2015-01-30,"JBSS3.SA",-0.0291098718700334,-0.0291095890410958
"22",11.39,11.65,11.21,11.35,4140800,9.230798,2015-02-02,"JBSS3.SA",0.000882066275217808,0.000881834215167521
"23",11.56,11.76,11.44,11.44,5002300,9.303991,2015-02-03,"JBSS3.SA",0.00792921695394044,0.00792951541850218
"24",11.5,11.7,11.15,11.21,5057300,9.116938,2015-02-04,"JBSS3.SA",-0.0201045981235365,-0.020104895104895
"25",11.2,11.41,11.1,11.18,4697300,9.092539,2015-02-05,"JBSS3.SA",-0.00267622747900653,-0.00267618198037478
"26",11.02,11.34,10.92,11.3,5213400,9.190131,2015-02-06,"JBSS3.SA",0.0107331956453527,0.0107334525939178
"27",11.28,11.43,11.15,11.37,2765000,9.247064,2015-02-09,"JBSS3.SA",0.00619501506561781,0.00619469026548658
"28",11.16,11.4,11.13,11.17,3374900,9.084406,2015-02-10,"JBSS3.SA",-0.0175902318833308,-0.0175901495162708
"29",11.22,11.33,11.02,11.28,4897500,9.173866,2015-02-11,"JBSS3.SA",0.00984764441395525,0.00984780662488793
"30",11.27,11.65,11.27,11.41,6676000,9.279593,2015-02-12,"JBSS3.SA",0.0115248031745832,0.0115248226950355
"31",11.6,11.74,11.4,11.66,2769300,9.482915,2015-02-13,"JBSS3.SA",0.0219106592282656,0.0219106047326907
"32",11.63,12.17,11.62,11.87,5691800,9.653705,2015-02-18,"JBSS3.SA",0.0180102848122123,0.0180102915951972
"33",11.77,12.25,11.66,12.11,3948800,9.848895,2015-02-19,"JBSS3.SA",0.0202191800971752,0.0202190395956192
"34",12.19,12.2,11.75,11.92,2699500,9.69437,2015-02-20,"JBSS3.SA",-0.0156895773586785,-0.0156895127993394
"35",11.82,12.25,11.82,12.25,4594400,9.962754,2015-02-23,"JBSS3.SA",0.0276845220473327,0.0276845637583893
"36",12.15,12.3,11.88,12.11,3606000,9.848895,2015-02-24,"JBSS3.SA",-0.0114284664662,-0.0114285714285715
"37",12.02,12.31,11.95,12.15,3554200,9.881426,2015-02-25,"JBSS3.SA",0.00330301013463941,0.00330305532617681
"38",12.18,12.3,12.06,12.19,3241700,9.913957,2015-02-26,"JBSS3.SA",0.00329213617548718,0.00329218106995888
"39",12.18,12.75,12.12,12.4,6379700,10.084747,2015-02-27,"JBSS3.SA",0.017227228239945,0.0172272354388845
"40",12.32,12.74,12.18,12.68,6005300,10.312468,2015-03-02,"JBSS3.SA",0.0225807350447167,0.0225806451612902
"41",12.7,12.8,12.45,12.45,4333300,10.125412,2015-03-03,"JBSS3.SA",-0.0181388199216715,-0.0181388012618297
"42",12.35,12.67,12.28,12.52,7801700,10.182342,2015-03-04,"JBSS3.SA",0.00562248726274039,0.00562248995983938
"43",12.55,12.79,12.45,12.79,9225000,10.401928,2015-03-05,"JBSS3.SA",0.0215653726814518,0.0215654952076676
"44",12.74,13.3,12.7,13.07,6604600,10.629648,2015-03-06,"JBSS3.SA",0.0218920953884703,0.0218921032056294
"45",13.27,13.44,13.12,13.16,8565800,10.702844,2015-03-09,"JBSS3.SA",0.00688602294262242,0.006885998469778
"46",13.01,13.73,13.01,13.58,6445300,11.044424,2015-03-10,"JBSS3.SA",0.0319148816893902,0.0319148936170213
"47",13.6,13.6,12.77,13.1,7751300,10.654046,2015-03-11,"JBSS3.SA",-0.0353461620089921,-0.0353460972017673
"48",13.14,13.16,12.55,12.83,13019700,10.434462,2015-03-12,"JBSS3.SA",-0.0206103859510274,-0.0206106870229007
"49",12.5,12.97,12.44,12.8,9152900,10.410062,2015-03-13,"JBSS3.SA",-0.0023384051808325,-0.00233826968043638
"50",13.03,13.07,12.76,12.78,4938600,10.393795,2015-03-16,"JBSS3.SA",-0.00156262277784691,-0.00156250000000013
"51",12.85,13.2,12.84,13.06,6272100,10.621515,2015-03-17,"JBSS3.SA",0.021909225648572,0.0219092331768389
"52",13,13.4,12.92,13.31,7296700,10.824837,2015-03-18,"JBSS3.SA",0.0191424669644584,0.0191424196018377
"53",13.36,13.98,13.34,13.92,11419100,11.320942,2015-03-19,"JBSS3.SA",0.0458302513007818,0.0458302028549962
"54",14.1,14.36,14.01,14.09,9605200,11.4592,2015-03-20,"JBSS3.SA",0.0122125879630863,0.0122126436781609
"55",14.27,14.29,14.09,14.2,6312700,11.548662,2015-03-23,"JBSS3.SA",0.00780700223401287,0.0078069552874378
"56",14.12,14.33,13.67,13.95,8241100,11.34534,2015-03-24,"JBSS3.SA",-0.0176056758782965,-0.0176056338028169
"57",13.93,14.25,13.93,14.13,8272700,11.491732,2015-03-25,"JBSS3.SA",0.0129032712990533,0.0129032258064516
"58",14,14.18,13.88,13.92,7581300,11.320942,2015-03-26,"JBSS3.SA",-0.0148619894720831,-0.0148619957537156
