"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",2.36,2.4,2.23,2.23,433200,1.830687,2015-01-02,"JHSF3.SA",NA,NA
"2",2.25,2.25,2.15,2.15,232500,1.765012,2015-01-05,"JHSF3.SA",-0.0358745104979715,-0.0358744394618834
"3",2.2,2.2,2.1,2.16,547300,1.773221,2015-01-06,"JHSF3.SA",0.0046509598801594,0.00465116279069777
"4",2.18,2.24,2.16,2.16,144000,1.773221,2015-01-07,"JHSF3.SA",0,0
"5",2.21,2.38,2.17,2.36,491100,1.937408,2015-01-08,"JHSF3.SA",0.0925925194885466,0.0925925925925926
"6",2.38,2.4,2.3,2.34,218500,1.920989,2015-01-09,"JHSF3.SA",-0.00847472499339319,-0.00847457627118642
"7",2.4,2.4,2.24,2.25,1735400,1.847105,2015-01-12,"JHSF3.SA",-0.0384614383528484,-0.0384615384615384
"8",2.26,2.37,2.26,2.34,370500,1.920989,2015-01-13,"JHSF3.SA",0.0399998917224522,0.04
"9",2.34,2.34,2.27,2.33,236200,1.91278,2015-01-14,"JHSF3.SA",-0.00427331962858724,-0.00427350427350415
"10",2.31,2.35,2.29,2.32,75100,1.904571,2015-01-15,"JHSF3.SA",-0.00429165926034358,-0.00429184549356232
"11",2.32,2.34,2.29,2.32,139100,1.904571,2015-01-16,"JHSF3.SA",0,0
"12",2.33,2.34,2.29,2.3,199400,1.888152,2015-01-19,"JHSF3.SA",-0.00862083902359112,-0.00862068965517238
"13",2.34,2.34,2.27,2.31,363300,1.896362,2015-01-20,"JHSF3.SA",0.0043481668848695,0.00434782608695672
"14",2.33,2.38,2.3,2.35,113500,1.929199,2015-01-21,"JHSF3.SA",0.017315786753795,0.0173160173160174
"15",2.35,2.4,2.29,2.29,453800,1.879943,2015-01-22,"JHSF3.SA",-0.0255318398983206,-0.0255319148936171
"16",2.34,2.34,2.26,2.27,250700,1.863524,2015-01-23,"JHSF3.SA",-0.00873377543893616,-0.00873362445414849
"17",2.25,2.25,2.1,2.21,1085800,1.814268,2015-01-26,"JHSF3.SA",-0.0264316424151232,-0.026431718061674
"18",2.19,2.27,2.17,2.19,1114000,1.797849,2015-01-27,"JHSF3.SA",-0.00904993088121486,-0.00904977375565608
"19",2.19,2.2,2.17,2.18,589200,1.78964,2015-01-28,"JHSF3.SA",-0.00456601193982376,-0.00456621004566204
"20",2.19,2.2,2.14,2.19,150700,1.797849,2015-01-29,"JHSF3.SA",0.00458695603585091,0.00458715596330261
"21",2.2,2.2,2.11,2.15,628200,1.765012,2015-01-30,"JHSF3.SA",-0.0182646039795333,-0.0182648401826484
"22",2.15,2.19,2.14,2.17,107600,1.781431,2015-02-02,"JHSF3.SA",0.00930248632870478,0.00930232558139532
"23",2.17,2.22,2.17,2.19,148100,1.797849,2015-02-03,"JHSF3.SA",0.00921618631313814,0.00921658986175111
"24",2.22,2.24,2.16,2.17,88800,1.781431,2015-02-04,"JHSF3.SA",-0.00913202387964729,-0.0091324200913242
"25",2.17,2.26,2.15,2.19,740400,1.797849,2015-02-05,"JHSF3.SA",0.00921618631313814,0.00921658986175111
"26",2.2,2.21,2.16,2.18,161600,1.78964,2015-02-06,"JHSF3.SA",-0.00456601193982376,-0.00456621004566204
"27",2.2,2.2,2.17,2.17,1148100,1.781431,2015-02-09,"JHSF3.SA",-0.00458695603585069,-0.00458715596330284
"28",2.14,2.16,2.1,2.1,582900,1.723965,2015-02-10,"JHSF3.SA",-0.0322583361353878,-0.032258064516129
"29",2.1,2.11,2,2.03,1934900,1.666499,2015-02-11,"JHSF3.SA",-0.0333336233624233,-0.0333333333333334
"30",2.05,2.1,2.05,2.08,418900,1.707546,2015-02-12,"JHSF3.SA",0.0246306778461913,0.0246305418719213
"31",2.1,2.1,2.02,2.03,2241300,1.666499,2015-02-13,"JHSF3.SA",-0.0240385910540624,-0.0240384615384617
"32",2.03,2.07,2.03,2.06,608800,1.691128,2015-02-18,"JHSF3.SA",0.0147788867560077,0.0147783251231528
"33",2.08,2.09,2.03,2.05,79600,1.682918,2015-02-19,"JHSF3.SA",-0.00485474783694673,-0.00485436893203894
"34",2.06,2.08,2.04,2.07,111300,1.699337,2015-02-20,"JHSF3.SA",0.00975626857636569,0.00975609756097562
"35",2.07,2.07,2.03,2.03,53300,1.666499,2015-02-23,"JHSF3.SA",-0.0193240069509463,-0.0193236714975845
"36",2.05,2.09,2.04,2.06,110600,1.691128,2015-02-24,"JHSF3.SA",0.0147788867560077,0.0147783251231528
"37",2.09,2.12,2.05,2.07,422300,1.699337,2015-02-25,"JHSF3.SA",0.00485415651565124,0.00485436893203883
"38",2.08,2.08,2.05,2.06,263200,1.691128,2015-02-26,"JHSF3.SA",-0.00483070750533887,-0.00483091787439605
