"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",6.15,6.2,5.66,5.66,1279500,4.451606,2015-01-02,"MRFG3.SA",NA,NA
"2",5.59,5.62,5.22,5.23,2117500,4.11341,2015-01-05,"MRFG3.SA",-0.075971683028552,-0.0759717314487632
"3",5.28,5.51,5.01,5.15,3060500,4.05049,2015-01-06,"MRFG3.SA",-0.0152963113329331,-0.0152963671128107
"4",5.19,5.39,5.16,5.33,3245400,4.19206,2015-01-07,"MRFG3.SA",0.0349513268765014,0.0349514563106796
"5",5.36,5.6,5.31,5.43,2104700,4.27071,2015-01-08,"MRFG3.SA",0.0187616589457213,0.0187617260787991
"6",5.44,5.58,5.33,5.51,1113300,4.333631,2015-01-09,"MRFG3.SA",0.014733147415769,0.0147329650092081
"7",5.4,5.64,5.3,5.33,1658000,4.19206,2015-01-12,"MRFG3.SA",-0.0326679867298346,-0.0326678765880217
"8",5.37,5.41,5.17,5.18,2149100,4.074085,2015-01-13,"MRFG3.SA",-0.0281424884185817,-0.0281425891181989
"9",5.15,5.46,4.77,4.86,4154700,3.822404,2015-01-14,"MRFG3.SA",-0.0617760797823315,-0.0617760617760617
"10",4.74,5.25,4.59,5.19,11024900,4.08195,2015-01-15,"MRFG3.SA",0.0679012474871834,0.0679012345679013
"11",5.17,5.45,5.16,5.38,2152600,4.231386,2015-01-16,"MRFG3.SA",0.0366089736522985,0.0366088631984585
"12",5.45,5.45,5.04,5.06,1539200,3.979705,2015-01-19,"MRFG3.SA",-0.0594795653244586,-0.0594795539033458
"13",5.16,5.2,4.87,4.99,3167700,3.924649,2015-01-20,"MRFG3.SA",-0.0138341912277418,-0.0138339920948616
"14",4.94,5.12,4.91,5,2878900,3.932514,2015-01-21,"MRFG3.SA",0.00200400086733876,0.00200400801603196
"15",5.05,5.33,5.04,5.26,3788100,4.137005,2015-01-22,"MRFG3.SA",0.0520000691669502,0.052
"16",5.24,5.33,5,5.01,2546700,3.940379,2015-01-23,"MRFG3.SA",-0.0475285865015875,-0.0475285171102662
"17",5.03,5.08,4.78,4.9,1486900,3.853864,2015-01-26,"MRFG3.SA",-0.0219560098152994,-0.0219560878243512
"18",4.96,5.16,4.82,5.07,3142300,3.987569,2015-01-27,"MRFG3.SA",0.0346937515179571,0.0346938775510204
