"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",9.58,9.67,9,9,12710900,6.347825,2015-01-02,"PETR3.SA",NA,NA
"2",8.64,8.96,8.25,8.27,25730600,5.832946,2015-01-05,"PETR3.SA",-0.081111089231351,-0.0811111111111111
"3",8.28,8.53,7.78,8.06,29754600,5.684831,2015-01-06,"PETR3.SA",-0.0253928289409845,-0.0253929866989117
"4",8.3,8.51,8.08,8.45,34128300,5.959903,2015-01-07,"PETR3.SA",0.0483870144952419,0.0483870967741935
"5",8.6,9.26,8.52,9.02,37487300,6.361932,2015-01-08,"PETR3.SA",0.067455628053007,0.0674556213017752
"6",9.09,9.29,8.78,9.29,20691700,6.552366,2015-01-09,"PETR3.SA",0.0299333598661538,0.0299334811529932
"7",9.24,9.46,8.66,8.77,23207000,6.185604,2015-01-12,"PETR3.SA",-0.0559739794755055,-0.0559741657696448
"8",8.73,9.21,8.73,8.83,22219700,6.227922,2015-01-13,"PETR3.SA",0.00684136908861288,0.0068415051311288
"9",8.75,8.77,8.43,8.5,17690000,5.995169,2015-01-14,"PETR3.SA",-0.0373724976003232,-0.0373725934314836
"10",8.79,9.28,8.64,9.25,27271300,6.524153,2015-01-15,"PETR3.SA",0.0882350439161932,0.088235294117647
"11",9.27,9.53,9.14,9.23,21205500,6.510046,2015-01-16,"PETR3.SA",-0.00216227301842864,-0.00216216216216214
"12",9.23,9.27,8.83,8.88,8273500,6.263188,2015-01-19,"PETR3.SA",-0.037919547726698,-0.0379198266522209
"13",9.25,9.55,8.77,8.89,17440000,6.270241,2015-01-20,"PETR3.SA",0.00112610383082856,0.00112612612612617
"14",9.1,9.48,8.94,9.46,12346000,6.67227,2015-01-21,"PETR3.SA",0.0641169932702745,0.064116985376828
"15",9.66,10.16,9.6,9.81,25931200,6.91913,2015-01-22,"PETR3.SA",0.036997903262308,0.036997885835095
"16",9.66,10.16,9.46,9.52,11862600,6.714588,2015-01-23,"PETR3.SA",-0.0295618090713717,-0.0295616717635068
"17",9.41,9.55,9.21,9.54,13347600,6.728695,2015-01-26,"PETR3.SA",0.00210094796583205,0.00210084033613445
"18",9.47,9.88,9.14,9.64,18123800,6.799227,2015-01-27,"PETR3.SA",0.0104822703362242,0.0104821802935011
"19",9.03,9.12,8.46,8.63,30769100,6.08686,2015-01-28,"PETR3.SA",-0.104771763025415,-0.104771784232365
"20",8.71,8.8,8,8.47,54051700,5.97401,2015-01-29,"PETR3.SA",-0.01853993684757,-0.0185399768250289
"21",8.03,8.17,7.88,8.04,35742100,5.670723,2015-01-30,"PETR3.SA",-0.0507677422702674,-0.0507674144037782
"22",8.28,8.57,8.01,8.57,13921700,6.04454,2015-02-02,"PETR3.SA",0.0659205184241938,0.0659203980099503
"23",8.89,9.79,8.88,9.79,20471800,6.905023,2015-02-03,"PETR3.SA",0.142357069355154,0.142357059509918
"24",10,10.6,9.49,9.9,35123000,6.982607,2015-02-04,"PETR3.SA",0.0112358785770881,0.0112359550561798
"25",9.76,10.14,9.61,9.66,19204200,6.813333,2015-02-05,"PETR3.SA",-0.0242422350276909,-0.0242424242424243
