"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",0.46,0.467,0.44,0.44,840000,0.44,2015-01-02,"PRIO3.SA",NA,NA
"2",0.436,0.438,0.407,0.407,1912000,0.407,2015-01-05,"PRIO3.SA",-0.0750000000000001,-0.0750000000000001
"3",0.407,0.419,0.367,0.367,2154000,0.367,2015-01-06,"PRIO3.SA",-0.0982800982800982,-0.0982800982800982
"4",0.375,0.389,0.365,0.366,1501000,0.366,2015-01-07,"PRIO3.SA",-0.00272479564032702,-0.00272479564032702
"5",0.383,0.383,0.365,0.378,1622000,0.378,2015-01-08,"PRIO3.SA",0.0327868852459017,0.0327868852459017
"6",0.367,0.485,0.367,0.438,10658000,0.438,2015-01-09,"PRIO3.SA",0.158730158730159,0.158730158730159
"7",0.434,0.437,0.379,0.379,8526000,0.379,2015-01-12,"PRIO3.SA",-0.134703196347032,-0.134703196347032
"8",0.382,0.395,0.371,0.373,3161000,0.373,2015-01-13,"PRIO3.SA",-0.0158311345646438,-0.0158311345646438
"9",0.371,0.375,0.337,0.345,2177000,0.345,2015-01-14,"PRIO3.SA",-0.0750670241286864,-0.0750670241286864
"10",0.36,0.363,0.338,0.346,1672000,0.346,2015-01-15,"PRIO3.SA",0.00289855072463774,0.00289855072463774
"11",0.362,0.362,0.316,0.318,4553000,0.318,2015-01-16,"PRIO3.SA",-0.0809248554913294,-0.0809248554913294
"12",0.315,0.322,0.285,0.286,4831000,0.286,2015-01-19,"PRIO3.SA",-0.10062893081761,-0.10062893081761
"13",0.304,0.343,0.304,0.326,12316000,0.326,2015-01-20,"PRIO3.SA",0.13986013986014,0.13986013986014
"14",0.367,0.443,0.354,0.443,17748000,0.443,2015-01-21,"PRIO3.SA",0.358895705521472,0.358895705521472
"15",0.5,0.678,0.5,0.629,24813000,0.629,2015-01-22,"PRIO3.SA",0.419864559819413,0.419864559819413
"16",0.5,0.77,0.5,0.628,30502000,0.628,2015-01-23,"PRIO3.SA",-0.00158982511923689,-0.00158982511923689
"17",0.6,0.683,0.574,0.574,19402000,0.574,2015-01-26,"PRIO3.SA",-0.0859872611464969,-0.0859872611464969
"18",0.562,0.58,0.441,0.441,25595000,0.441,2015-01-27,"PRIO3.SA",-0.231707317073171,-0.231707317073171
"19",0.454,0.482,0.406,0.43,15675000,0.43,2015-01-28,"PRIO3.SA",-0.0249433106575964,-0.0249433106575964
"20",0.429,0.445,0.387,0.404,13350000,0.404,2015-01-29,"PRIO3.SA",-0.0604651162790697,-0.0604651162790697
"21",0.405,0.412,0.373,0.39,5805000,0.39,2015-01-30,"PRIO3.SA",-0.0346534653465347,-0.0346534653465347
"22",0.395,0.486,0.385,0.482,13115000,0.482,2015-02-02,"PRIO3.SA",0.235897435897436,0.235897435897436
"23",0.535,0.577,0.495,0.499,19037000,0.499,2015-02-03,"PRIO3.SA",0.0352697095435686,0.0352697095435686
"24",0.518,0.537,0.491,0.5,8404000,0.5,2015-02-04,"PRIO3.SA",0.00200400801603196,0.00200400801603196
"25",0.5,0.52,0.499,0.502,3291000,0.502,2015-02-05,"PRIO3.SA",0.004,0.004
"26",0.5,0.508,0.473,0.478,4142000,0.478,2015-02-06,"PRIO3.SA",-0.0478087649402391,-0.0478087649402391
"27",0.465,0.512,0.465,0.491,3062000,0.491,2015-02-09,"PRIO3.SA",0.0271966527196652,0.0271966527196652
