"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",13.25,13.37,12.35,12.72,2673400,8.061938,2015-01-02,"SANB11.SA",NA,NA
"2",12.69,12.77,12.3,12.63,1611900,8.004897,2015-01-05,"SANB11.SA",-0.00707534590318104,-0.00707547169811318
"3",12.64,12.74,12.21,12.72,1081300,8.061938,2015-01-06,"SANB11.SA",0.00712576314223656,0.00712589073634207
"4",12.78,13.57,12.7,13.25,1044300,8.397853,2015-01-07,"SANB11.SA",0.0416667803696829,0.0416666666666665
"5",13.41,13.46,12.85,13.03,737400,8.258416,2015-01-08,"SANB11.SA",-0.0166038867315252,-0.0166037735849057
"6",12.91,13.08,12.61,12.9,550100,8.176023,2015-01-09,"SANB11.SA",-0.00997685270395676,-0.00997697620874893
"7",12.8,12.84,12.5,12.64,754600,8.011235,2015-01-12,"SANB11.SA",-0.0201550313642711,-0.0201550387596899
"8",12.75,12.82,12.44,12.61,1384300,7.992221,2015-01-13,"SANB11.SA",-0.00237341683273551,-0.00237341772151911
"9",12.3,12.89,12.23,12.78,781100,8.099966,2015-01-14,"SANB11.SA",0.0134812338147305,0.0134813639968279
"10",12.84,13.26,12.8,13.2,1554900,8.366164,2015-01-15,"SANB11.SA",0.03286408856531,0.0328638497652582
"11",13.16,13.46,13.04,13.15,1092300,8.334474,2015-01-16,"SANB11.SA",-0.00378787697683181,-0.00378787878787867
"12",13.01,13.16,12.7,12.78,480200,8.099966,2015-01-19,"SANB11.SA",-0.0281371085925758,-0.0281368821292777
"13",12.92,13.25,12.79,13.1,909800,8.302783,2015-01-20,"SANB11.SA",0.0250392409054556,0.0250391236306728
"14",13.15,13.38,12.88,13.24,837800,8.391515,2015-01-21,"SANB11.SA",0.0106870190392787,0.0106870229007634
"15",13.46,13.77,13.07,13.19,1066500,8.359822,2015-01-22,"SANB11.SA",-0.00377679119920549,-0.00377643504531733
"16",13.44,13.44,12.86,13.16,577900,8.340813,2015-01-23,"SANB11.SA",-0.00227385224230836,-0.00227445034116747
"17",12.94,13.57,12.92,13.5,1038000,8.556304,2015-01-26,"SANB11.SA",0.0258357308813901,0.0258358662613982
"18",13.35,13.41,12.82,13.25,1373200,8.397853,2015-01-27,"SANB11.SA",-0.0185186267341602,-0.0185185185185185
"19",13.05,13.55,12.87,13.24,1114700,8.391515,2015-01-28,"SANB11.SA",-0.000754716711521275,-0.000754716981132053
"20",13.5,13.62,13.13,13.4,1068900,8.492925,2015-01-29,"SANB11.SA",0.0120848261607112,0.0120845921450152
"21",13.21,13.21,12.42,12.43,1169600,7.878137,2015-01-30,"SANB11.SA",-0.0723882525749374,-0.0723880597014925
"22",12.41,12.6,12.25,12.6,956300,7.985884,2015-02-02,"SANB11.SA",0.0136767106233366,0.0136765888978279
"23",12.65,13.06,12.38,12.97,863800,8.220388,2015-02-03,"SANB11.SA",0.0293648142146816,0.0293650793650795
"24",13.2,13.41,12.6,13.36,901900,8.467567,2015-02-04,"SANB11.SA",0.0300690186399961,0.0300693909020817
"25",13.1,13.48,13.1,13.3,613600,8.429543,2015-02-05,"SANB11.SA",-0.00449054610373911,-0.00449101796407181
"26",13.19,13.55,12.81,13.17,1583600,8.347148,2015-02-06,"SANB11.SA",-0.00977455124198312,-0.00977443609022566
"27",13.11,13.52,13.08,13.38,270200,8.480246,2015-02-09,"SANB11.SA",0.0159453264755818,0.0159453302961277
"28",13.35,13.52,12.95,12.95,832700,8.207713,2015-02-10,"SANB11.SA",-0.0321373931841127,-0.032137518684604
"29",12.99,13.18,12.75,13.18,807800,8.353486,2015-02-11,"SANB11.SA",0.0177604894323182,0.0177606177606178
"30",13.2,13.7,13.06,13.7,732400,8.683062,2015-02-12,"SANB11.SA",0.0394537083081243,0.0394537177541729
"31",13.6,14.3,13.45,14.27,894500,9.044331,2015-02-13,"SANB11.SA",0.0416061753330794,0.0416058394160583
"32",14.28,14.49,14.08,14.15,1343000,8.968271,2015-02-18,"SANB11.SA",-0.00840968779227558,-0.00840925017519267
"33",14.12,14.43,14.1,14.22,287500,9.012637,2015-02-19,"SANB11.SA",0.00494699591482006,0.00494699646643104
"34",14.2,14.25,13.83,14,1063300,8.873203,2015-02-20,"SANB11.SA",-0.0154709437426582,-0.0154711673699016
"35",14,14.24,13.85,14.02,457500,8.88588,2015-02-23,"SANB11.SA",0.0014286836444517,0.00142857142857133
"36",13.97,14.44,13.91,14.29,891200,9.057006,2015-02-24,"SANB11.SA",0.0192581938986347,0.0192582025677603
"37",14.09,14.25,13.97,14.15,488000,8.968271,2015-02-25,"SANB11.SA",-0.00979738779018147,-0.00979706088173538
"38",14.28,14.49,14.07,14.48,552000,9.177427,2015-02-26,"SANB11.SA",0.0233217751782924,0.0233215547703181
"39",14.35,14.7,13.98,14.16,984800,8.97461,2015-02-27,"SANB11.SA",-0.022099549252748,-0.0220994475138122
"40",14.14,14.14,13.6,13.67,559800,8.664049,2015-03-02,"SANB11.SA",-0.0346044006369078,-0.0346045197740114
"41",13.82,13.87,13.57,13.87,416900,8.790809,2015-03-03,"SANB11.SA",0.0146305728418663,0.0146305779078273
"42",13.47,14.08,13.35,14.05,838300,8.904892,2015-03-04,"SANB11.SA",0.0129775314194633,0.0129776496034608
"43",14.05,14.44,13.8,14.15,529200,8.968271,2015-03-05,"SANB11.SA",0.00711732382604979,0.00711743772241991
"44",14.16,14.26,13.83,14.01,1020000,8.87954,2015-03-06,"SANB11.SA",-0.00989388032542715,-0.00989399293286219
"45",13.9,14.03,13.68,13.8,861900,8.746444,2015-03-09,"SANB11.SA",-0.0149890647488496,-0.0149892933618843
"46",13.7,13.95,13.35,13.43,943000,8.511935,2015-03-10,"SANB11.SA",-0.0268119249377233,-0.0268115942028986
"47",13.5,13.7,13.35,13.6,1225700,8.619681,2015-03-11,"SANB11.SA",0.0126582263609862,0.0126582278481013
"48",13.8,13.85,13.22,13.3,1147600,8.429543,2015-03-12,"SANB11.SA",-0.0220585889431406,-0.0220588235294117
"49",13.05,13.59,12.88,13.45,1056200,8.524611,2015-03-13,"SANB11.SA",0.0112779542141253,0.0112781954887218
"50",13.69,13.76,13.23,13.41,679800,8.49926,2015-03-16,"SANB11.SA",-0.00297386003889222,-0.00297397769516727
"51",13.59,14.16,13.51,13.95,8e+05,8.841511,2015-03-17,"SANB11.SA",0.0402683292427812,0.0402684563758389
"52",13.81,14.56,13.71,14.55,892700,9.221793,2015-03-18,"SANB11.SA",0.0430109740292128,0.0430107526881722
"53",14.38,14.44,14.12,14.37,468300,9.10771,2015-03-19,"SANB11.SA",-0.0123710215573044,-0.0123711340206186
"54",14.5,14.74,14.26,14.46,1328500,9.164752,2015-03-20,"SANB11.SA",0.00626304526604371,0.00626304801670163
"55",14.51,14.64,14.28,14.38,436500,9.114047,2015-03-23,"SANB11.SA",-0.00553261015682704,-0.00553250345781464
"56",14.41,14.6,14.2,14.55,435900,9.221793,2015-03-24,"SANB11.SA",0.0118219710738821,0.0118219749652295
"57",14.51,14.82,14.3,14.3,697500,9.063342,2015-03-25,"SANB11.SA",-0.0171822334333464,-0.0171821305841925
"58",14.14,14.29,13.74,13.9,1081000,8.809823,2015-03-26,"SANB11.SA",-0.027971911464888,-0.027972027972028
"59",13.82,14.15,13.64,13.67,661200,8.664049,2015-03-27,"SANB11.SA",-0.0165467569552759,-0.016546762589928
"60",13.61,14.33,13.6,14.33,505400,9.108871,2015-03-30,"SANB11.SA",0.0513411223782323,0.0482809070958303
"61",14.04,14.31,13.95,13.96,735000,8.873678,2015-03-31,"SANB11.SA",-0.0258202141626553,-0.0258199581297975
"62",14.28,14.69,14.13,14.6,1080500,9.280493,2015-04-01,"SANB11.SA",0.0458451388477248,0.0458452722063036
"63",14.9,15.18,14.79,14.82,1035400,9.42034,2015-04-02,"SANB11.SA",0.0150689192912488,0.015068493150685
"64",15,15.4,14.87,15.25,746500,9.693666,2015-04-06,"SANB11.SA",0.029014451707688,0.0290148448043184
"65",15.18,15.33,14.8,14.99,401800,9.528399,2015-04-07,"SANB11.SA",-0.0170489678517911,-0.0170491803278688
"66",15.08,15.38,14.99,15.37,754100,9.769948,2015-04-08,"SANB11.SA",0.0253504287551349,0.0253502334889926
