"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",19,19.049999,18.219999,18.85,344100,9.010092,2015-01-02,"TAEE11.SA",NA,NA
"2",18.469999,19.049999,18.120001,18.780001,485100,8.976632,2015-01-05,"TAEE11.SA",-0.0037136135790844,-0.00371347480106121
"3",18.9,19.139999,18.610001,18.809999,634700,8.990973,2015-01-06,"TAEE11.SA",0.00159759250462765,0.00159733750812907
"4",18.950001,19.15,18.76,18.84,349000,9.005311,2015-01-07,"TAEE11.SA",0.00159471060584893,0.00159494957974204
"5",18.799999,19.379999,18.780001,19.02,557700,9.091351,2015-01-08,"TAEE11.SA",0.00955436186490388,0.00955414012738842
"6",18.9,18.969999,18.51,18.889999,596400,9.029211,2015-01-09,"TAEE11.SA",-0.00683506774735676,-0.00683496319663512
"7",18.5,18.91,18.190001,18.68,646500,8.928835,2015-01-12,"TAEE11.SA",-0.0111168074375492,-0.0111169407684987
"8",18.75,19.18,18.75,19,722600,9.081793,2015-01-13,"TAEE11.SA",0.0171307902990703,0.0171306209850106
"9",18.809999,19.790001,18.780001,19.27,1002400,9.210847,2015-01-14,"TAEE11.SA",0.0142101895517768,0.0142105263157895
"10",19.309999,19.709999,19.24,19.57,693800,9.354242,2015-01-15,"TAEE11.SA",0.0155680579647017,0.0155682407887909
"11",19.6,20.35,19.18,19.85,815400,9.48808,2015-01-16,"TAEE11.SA",0.0143077333256934,0.0143076136944302
"12",20.02,20.059999,19.6,19.6,284800,9.368585,2015-01-19,"TAEE11.SA",-0.0125942234888408,-0.0125944584382871
"13",19.77,19.9,19.43,19.76,545200,9.445062,2015-01-20,"TAEE11.SA",0.00816313242608158,0.00816326530612255
"14",19.77,19.940001,19.51,19.700001,1562100,9.416383,2015-01-21,"TAEE11.SA",-0.00303640145506723,-0.0030363866396762
"15",19.77,20.02,19.459999,19.67,1225300,9.402042,2015-01-22,"TAEE11.SA",-0.00152298393130357,-0.00152289332371092
"16",19.59,19.809999,19.360001,19.549999,303900,9.344684,2015-01-23,"TAEE11.SA",-0.00610058963786786,-0.00610071174377236
"17",19.360001,19.74,18.98,19.299999,490900,9.225188,2015-01-26,"TAEE11.SA",-0.0127875913193,-0.0127877244392698
"18",19.35,19.42,18.98,19.4,319700,9.272985,2015-01-27,"TAEE11.SA",0.0051811410239011,0.00518139923219674
"19",19.34,19.690001,19.17,19.299999,425700,9.225188,2015-01-28,"TAEE11.SA",-0.0051544351683952,-0.00515469072164942
"20",19.42,19.690001,19.26,19.5,291600,9.320786,2015-01-29,"TAEE11.SA",0.0103627156433019,0.0103627466509195
"21",19.5,19.889999,19.32,19.450001,644100,9.296888,2015-01-30,"TAEE11.SA",-0.00256394686027561,-0.00256405128205128
"22",19.690001,20.280001,19.450001,19.799999,782900,9.464179,2015-02-02,"TAEE11.SA",0.0179943008886414,0.0179947548588815
"23",20.030001,20.370001,19.85,19.92,543100,9.521539,2015-02-03,"TAEE11.SA",0.00606074758307096,0.0060606568717505
"24",20.01,20.219999,19.77,19.950001,367600,9.53588,2015-02-04,"TAEE11.SA",0.00150616407704685,0.00150607429718863
