"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",25.549999,25.690001,25.08,25.33,2635800,22.969915,2015-01-02,"UGPA3.SA",NA,NA
"2",24.825001,25.125,24.629999,24.655001,2991600,22.357807,2015-01-05,"UGPA3.SA",-0.0266482483718377,-0.0266482037110146
"3",24.67,24.92,24.440001,24.690001,4890400,22.389547,2015-01-06,"UGPA3.SA",0.0014196383393057,0.00141959028920735
"4",24.875,25.75,24.775,25.360001,4257600,22.997124,2015-01-07,"UGPA3.SA",0.0271366365742014,0.0271364914079997
"5",25.325001,25.58,24.889999,25.1,1730600,22.761345,2015-01-08,"UGPA3.SA",-0.0102525428831884,-0.0102524049585013
"6",24.9,25.045,24.455,24.795,2670800,22.484764,2015-01-09,"UGPA3.SA",-0.012151346943689,-0.0121513944223107
"7",24.51,24.75,24.264999,24.32,1963000,22.05402,2015-01-12,"UGPA3.SA",-0.0191571501484292,-0.0191570881226054
"8",24.559999,24.91,24.32,24.555,2203400,22.267128,2015-01-13,"UGPA3.SA",0.00966300021492672,0.00966282894736836
"9",24.594999,24.940001,24.424999,24.754999,1668800,22.448492,2015-01-14,"UGPA3.SA",0.00814492106930009,0.00814493993076781
"10",24.77,25.195,24.715,24.83,2600200,22.516504,2015-01-15,"UGPA3.SA",0.00302969125943964,0.00302973148978913
"11",24.84,25.684999,24.67,25.174999,2013400,22.829357,2015-01-16,"UGPA3.SA",0.0138943860911978,0.0138944422070078
"12",25.129999,25.389999,24.530001,25,1595200,22.670668,2015-01-19,"UGPA3.SA",-0.00695109371674385,-0.00695130116986298
"13",25.299999,25.459999,25.1,25.365,2205800,23.001654,2015-01-20,"UGPA3.SA",0.0145997462447953,0.0145999999999999
"14",25.5,26.415001,25.325001,26.115,3175200,23.681778,2015-01-21,"UGPA3.SA",0.0295684823360964,0.0295683027794205
"15",26.405001,26.9,25.76,26.235001,2518200,23.790592,2015-01-22,"UGPA3.SA",0.00459484080967232,0.00459509860233598
"16",26.25,26.58,26.110001,26.219999,2065200,23.776993,2015-01-23,"UGPA3.SA",-0.000571612509684516,-0.000571831500978393
"17",26.055,26.445,25.895,25.995001,1800000,23.572956,2015-01-26,"UGPA3.SA",-0.00858127854939439,-0.00858115974756535
"18",25.965,26.389999,25.325001,26.254999,2748200,23.808727,2015-01-27,"UGPA3.SA",0.0100017579466911,0.0100018461241838
"19",25.885,26.280001,25.41,26.030001,2744000,23.604698,2015-01-28,"UGPA3.SA",-0.00856950478704732,-0.0085697203797267
"20",26.025,26.495001,25.709999,26.275,2366800,23.826868,2015-01-29,"UGPA3.SA",0.00941210940296733,0.00941217789426907
"21",25.865,26.665001,25.865,26.459999,3658200,23.994629,2015-01-30,"UGPA3.SA",0.00704083306291037,0.0070408753568032
"22",26.504999,27.355,26.309999,27.23,2528000,24.69289,2015-02-02,"UGPA3.SA",0.0291007208321494,0.0291005679932188
"23",27.4,27.549999,26.879999,27.275,3215600,24.733696,2015-02-03,"UGPA3.SA",0.00165254046812668,0.00165258905618804
"24",27.235001,27.610001,26.790001,27.290001,4985400,24.747295,2015-02-04,"UGPA3.SA",0.000549816735840869,0.000549990834097125
"25",27.025,27.950001,27.025,27.950001,3049800,25.345802,2015-02-05,"UGPA3.SA",0.0241847442316423,0.024184682147868
"26",27.950001,28.16,27.299999,28.004999,4375200,25.395678,2015-02-06,"UGPA3.SA",0.00196782094328674,0.00196772801546596
"27",28,28.844999,27.545,28.23,4215400,25.599712,2015-02-09,"UGPA3.SA",0.00803420172519109,0.0080343155877276
"28",28.059999,28.24,27.860001,28.075001,3614200,25.459154,2015-02-10,"UGPA3.SA",-0.00549060864434725,-0.0054905773999292
