"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",3.27,3.27,3.15,3.17,21734100,2.419612,2015-01-02,"B3SA3.SA",NA,NA
"2",3.143333,3.153333,3.056666,3.083333,34790100,2.35346,2015-01-05,"B3SA3.SA",-0.0273399206153713,-0.0273397476340693
"3",3.066666,3.113333,3.033333,3.113333,49214700,2.376359,2015-01-06,"B3SA3.SA",0.00972992955053398,0.00972973078159245
"4",3.133333,3.283333,3.126666,3.236666,24006600,2.470496,2015-01-07,"B3SA3.SA",0.0396139640517279,0.0396144582028328
"5",3.296666,3.3,3.19,3.193333,22967700,2.437422,2015-01-08,"B3SA3.SA",-0.0133875950416433,-0.0133881592972522
"6",3.196666,3.216666,3.103333,3.11,17848800,2.373815,2015-01-09,"B3SA3.SA",-0.0260960145596455,-0.0260959317427905
"7",3.1,3.123333,3.006666,3.02,37890600,2.305119,2015-01-12,"B3SA3.SA",-0.0289390706520938,-0.0289389067524115
"8",3.016666,3.126666,3.013333,3.026666,29477700,2.310206,2015-01-13,"B3SA3.SA",0.002206827500012,0.00220728476821197
"9",3,3.093333,2.983333,3.086666,18569100,2.356004,2015-01-14,"B3SA3.SA",0.0198242061530443,0.0198237929127298
"10",3.07,3.176666,3.063333,3.073333,29427000,2.345827,2015-01-15,"B3SA3.SA",-0.0043196021738503,-0.00431954736923279
"11",3.09,3.183333,3.09,3.166666,21628200,2.417067,2015-01-16,"B3SA3.SA",0.030368820889179,0.0303686583913947
"12",3.143333,3.18,2.983333,2.993333,29226900,2.284764,2015-01-19,"B3SA3.SA",-0.0547370014980966,-0.0547367483656314
"13",3.06,3.113333,3.023333,3.053333,53613600,2.330562,2015-01-20,"B3SA3.SA",0.0200449586915761,0.0200445456619762
"14",3.066666,3.2,3.023333,3.193333,40127400,2.437422,2015-01-21,"B3SA3.SA",0.045851601459219,0.0458515333899054
"15",3.216666,3.343333,3.213333,3.33,92274600,2.541737,2015-01-22,"B3SA3.SA",0.0427972669484398,0.0427976036323177
"16",3.33,3.33,3.233333,3.273333,24373200,2.498484,2015-01-23,"B3SA3.SA",-0.0170171028709895,-0.0170171171171172
"17",3.216666,3.263333,3.186666,3.233333,27995100,2.467953,2015-01-26,"B3SA3.SA",-0.0122198100928402,-0.0122199605111977
"18",3.226666,3.316666,3.163333,3.293333,31176900,2.513749,2015-01-27,"B3SA3.SA",0.0185562691023693,0.0185567029439899
"19",3.25,3.273333,3.17,3.22,24946500,2.457775,2015-01-28,"B3SA3.SA",-0.0222671396388422,-0.0222671075169136
"20",3.21,3.283333,3.166666,3.283333,29271000,2.506117,2015-01-29,"B3SA3.SA",0.0196690095716656,0.0196686335403726
"21",3.216666,3.216666,3.03,3.066666,69632100,2.340738,2015-01-30,"B3SA3.SA",-0.0659901353368578,-0.0659899559380666
"22",3.066666,3.12,3.036666,3.106666,25132200,2.37127,2015-02-02,"B3SA3.SA",0.0130437494499598,0.0130434810964088
"23",3.156666,3.22,3.113333,3.193333,38930100,2.437422,2015-02-03,"B3SA3.SA",0.0278972871077525,0.0278971089907958
"24",3.216666,3.29,3.133333,3.25,37300200,2.480674,2015-02-04,"B3SA3.SA",0.0177449780957093,0.0177454089504603
"25",3.23,3.276666,3.2,3.226666,34461600,2.462864,2015-02-05,"B3SA3.SA",-0.00717950040996918,-0.00717969230769233
"26",3.176666,3.21,3.07,3.143333,34916700,2.399258,2015-02-06,"B3SA3.SA",-0.0258260301827467,-0.0258263483112289
"27",3.143333,3.16,3.11,3.143333,23987400,2.399258,2015-02-09,"B3SA3.SA",0,0
