iter	Passed	Remaining
0	58	58567
1	108	54144
2	159	52915
3	207	51753
4	252	50165
5	298	49369
6	345	48941
7	397	49271
8	447	49287
9	497	49279
10	552	49635
11	596	49124
12	642	48805
13	690	48617
14	729	47910
15	768	47293
16	809	46818
17	850	46410
18	891	46018
19	933	45756
20	976	45504
21	1023	45484
22	1078	45792
23	1124	45714
24	1165	45443
25	1205	45163
26	1247	44945
27	1289	44747
28	1331	44581
29	1374	44443
30	1413	44197
31	1458	44133
32	1506	44137
33	1550	44057
34	1595	43981
35	1635	43796
36	1682	43796
37	1725	43686
38	1765	43492
39	1806	43354
40	1849	43268
41	1894	43206
42	1944	43281
43	1989	43229
44	2032	43132
45	2074	43027
46	2114	42877
47	2157	42787
48	2197	42644
49	2243	42627
50	2284	42515
51	2330	42493
52	2381	42556
53	2426	42500
54	2467	42388
55	2507	42263
56	2548	42166
57	2592	42102
58	2633	41995
59	2673	41886
60	2716	41812
61	2758	41732
62	2809	41781
63	2855	41766
64	2897	41680
65	2940	41606
66	2977	41464
67	3018	41374
68	3058	41271
69	3100	41187
70	3139	41082
71	3185	41051
72	3236	41095
73	3289	41163
74	3332	41103
75	3378	41072
76	3420	40998
77	3460	40899
78	3500	40807
79	3542	40739
80	3583	40657
81	3626	40593
82	3675	40611
83	3723	40608
84	3766	40549
85	3810	40500
86	3852	40425
87	3892	40342
88	3932	40249
89	3972	40162
90	4013	40094
91	4058	40057
92	4107	40055
93	4151	40012
94	4191	39931
95	4233	39869
96	4272	39776
97	4317	39734
98	4360	39685
99	4403	39628
100	4445	39565
101	4485	39490
102	4532	39473
103	4579	39457
104	4621	39389
105	4661	39317
106	4703	39251
107	4744	39183
108	4789	39152
109	4829	39073
110	4872	39026
111	4917	38991
112	4967	38990
113	5008	38929
114	5045	38829
115	5084	38749
116	5124	38671
117	5165	38606
118	5210	38572
119	5250	38506
120	5291	38438
121	5338	38416
122	5388	38422
123	5432	38374
124	5470	38291
125	5502	38167
126	5545	38118
127	5585	38053
128	5625	37983
129	5671	37955
130	5716	37918
131	5767	37928
132	5821	37949
133	5866	37914
134	5907	37853
135	5951	37807
136	5994	37759
137	6036	37707
138	6075	37634
139	6117	37576
140	6158	37516
141	6216	37561
142	6271	37588
143	6323	37589
144	6366	37538
145	6406	37471
146	6444	37393
147	6484	37329
148	6523	37261
149	6570	37231
150	6614	37188
151	6658	37148
152	6707	37130
153	6753	37101
154	6793	37037
155	6839	37001
156	6877	36930
157	6916	36859
158	6954	36786
159	7001	36755
160	7044	36708
161	7088	36665
162	7136	36647
163	7181	36608
164	7222	36550
165	7266	36505
166	7306	36444
167	7349	36398
168	7391	36345
169	7432	36287
170	7472	36225
171	7518	36192
172	7572	36197
173	7634	36242
