,Nome do ativo
0,ABEV3.SA
1,B3SA3.SA
2,BBAS3.SA
3,BBDC3.SA
4,BBDC4.SA
5,BBSE3.SA
6,BEEF3.SA
7,BRAP4.SA
8,BRFS3.SA
9,BRKM5.SA
10,BRML3.SA
11,CCRO3.SA
12,CIEL3.SA
13,CMIG4.SA
14,COGN3.SA
15,CPFE3.SA
16,CPLE6.SA
17,CSAN3.SA
18,CSNA3.SA
19,CVCB3.SA
20,CYRE3.SA
21,ECOR3.SA
22,EGIE3.SA
23,ELET3.SA
24,ELET6.SA
25,EMBR3.SA
26,ENBR3.SA
27,ENEV3.SA
28,ENGI11.SA
29,EQTL3.SA
30,EZTC3.SA
31,FLRY3.SA
32,GGBR4.SA
33,GOAU4.SA
34,GOLL4.SA
35,HYPE3.SA
36,ITSA4.SA
37,ITUB4.SA
38,JBSS3.SA
39,JHSF3.SA
40,KLBN11.SA
41,LCAM3.SA
42,LREN3.SA
43,MGLU3.SA
44,MRFG3.SA
45,MRVE3.SA
46,MULT3.SA
47,PCAR3.SA
48,PETR3.SA
49,PETR4.SA
50,PRIO3.SA
51,QUAL3.SA
52,RADL3.SA
53,RAIL3.SA
54,RENT3.SA
55,SANB11.SA
56,SBSP3.SA
57,SULA11.SA
58,SUZB3.SA
59,TAEE11.SA
60,TIMS3.SA
61,TOTS3.SA
62,UGPA3.SA
63,USIM5.SA
64,VALE3.SA
65,VIVT3.SA
66,WEGE3.SA
67,YDUQ3.SA
